time_stamp,trial_index,slot,mode,size_index,targetRadius,targetX,targetY,userX,userY,distance_from_center,elaspedTime,is_hit
1000,0,s0,N,2,L,0.000000,5.355237,0.047845,5.298781,0.072973,1000,1
2036,1,s8,N,2,L,-0.291500,2.581800,-0.285052,2.563418,0.018937,1036,1
3200,2,s1,N,2,L,0.570260,5.234025,0.552598,5.122007,0.111069,1163,1
4199,3,s9,N,2,L,-0.824097,2.818928,-0.778990,2.780437,0.059254,999,1
5254,4,s2,N,2,L,1.041917,4.891346,1.066918,4.799936,0.094498,1054,1
6381,5,s10,N,2,L,-1.214200,3.252181,-1.167322,3.301030,0.065388,1127,1
7472,6,s3,N,2,L,1.333417,4.386454,1.315207,4.341939,0.047742,1090,1
8400,7,s11,N,2,L,-1.394357,3.806647,-1.431473,3.830688,0.043340,927,1
9381,8,s4,N,2,L,1.394357,3.806647,1.479177,3.770146,0.089315,981,1
10509,9,s12,N,2,L,-1.333417,4.386454,-1.338661,4.338048,0.048686,1127,1
11745,10,s5,N,2,L,1.214200,3.252181,1.178809,3.222503,0.046137,1236,1
12799,11,s13,N,2,L,-1.041917,4.891346,-1.033364,4.864595,0.027600,1054,1
13872,12,s6,N,2,L,0.824097,2.818928,0.762263,2.786884,0.069643,1072,1
15090,13,s14,N,2,L,-0.570260,5.234025,-0.561745,5.180375,0.053187,1218,1
16127,14,s7,N,2,L,0.291500,2.581800,0.310729,2.641872,0.061262,1036,1
17109,15,s0,N,2,L,0.000000,5.355237,-0.050682,5.361521,0.051006,981,1
18272,16,s8,N,2,L,-0.291500,2.581800,-0.309965,2.679505,0.096365,1163,1
19527,17,s1,N,2,L,0.570260,5.234025,0.543409,5.153380,0.083098,1254,1
20654,18,s9,N,2,L,-0.824097,2.818928,-0.842681,2.807003,0.021381,1127,1
21854,19,s2,N,2,L,1.041917,4.891346,1.036220,4.805851,0.084945,1199,1
23018,20,s10,N,2,L,-1.214200,3.252181,-1.239080,3.232765,0.030318,1163,1
24145,21,s3,N,2,L,1.333417,4.386454,1.330750,4.324618,0.061816,1127,1
24963,22,s11,N,2,L,-1.394357,3.806647,-1.245140,3.811706,0.145293,818,0
25727,22,s11,N,2,L,-1.394357,3.806647,-1.311155,3.863942,0.098132,1581,1
26781,23,s4,N,2,L,1.394357,3.806647,1.416274,3.789502,0.027075,1054,1
27872,24,s12,N,2,L,-1.333417,4.386454,-1.300233,4.389874,0.032390,1090,1
29072,25,s5,N,2,L,1.214200,3.252181,1.180853,3.202450,0.059856,1199,1
30090,26,s13,N,2,L,-1.041917,4.891346,-1.085791,4.947628,0.069184,1018,1
31636,27,s6,N,2,L,0.824097,2.818928,0.816861,2.807659,0.013288,1545,1
32654,28,s14,N,2,L,-0.570260,5.234025,-0.637673,5.206697,0.072654,1018,1
33890,29,s7,N,2,L,0.291500,2.581800,0.214209,2.659978,0.107626,1236,1
34909,30,s0,N,2,L,0.000000,5.355237,-0.048005,5.233624,0.128645,1018,1
36018,31,s8,N,2,L,-0.291500,2.581800,-0.281134,2.606632,0.025826,1109,1
37436,32,s1,N,2,L,0.570260,5.234025,0.483578,5.039067,0.209994,1418,0
37909,32,s1,N,2,L,0.570260,5.234025,0.560127,5.225810,0.012796,1890,1
39309,33,s9,N,2,L,-0.824097,2.818928,-0.858655,2.820434,0.034161,1399,1
40454,34,s2,N,2,L,1.041917,4.891346,1.029441,4.926783,0.037448,1145,1
41581,35,s10,N,2,L,-1.214200,3.252181,-1.200831,3.308939,0.057152,1127,1
42727,36,s3,N,2,L,1.333417,4.386454,1.301763,4.313041,0.079446,1145,1
44472,37,s11,N,2,L,-1.394357,3.806647,-1.212278,3.899904,0.200280,1745,0
45254,37,s11,N,2,L,-1.394357,3.806647,-1.338288,3.980720,0.181686,2527,0
45818,37,s11,N,2,L,-1.394357,3.806647,-1.351209,3.808810,0.041655,3090,1
47090,38,s4,N,2,L,1.394357,3.806647,1.367633,3.831858,0.035944,1272,1
48418,39,s12,N,2,L,-1.333417,4.386454,-1.351999,4.343660,0.046577,1327,1
49727,40,s5,N,2,L,1.214200,3.252181,1.126421,3.285793,0.091255,1309,1
50909,41,s13,N,2,L,-1.041917,4.891346,-1.009756,4.752301,0.141011,1181,0
51400,41,s13,N,2,L,-1.041917,4.891346,-1.079531,4.968311,0.083532,1672,1
52763,42,s6,N,2,L,0.824097,2.818928,0.815082,2.773224,0.045513,1363,1
53854,43,s14,N,2,L,-0.570260,5.234025,-0.566424,5.181723,0.051368,1090,1
55254,44,s7,N,2,L,0.291500,2.581800,0.321914,2.562020,0.035580,1399,1
56509,45,s0,N,2,L,0.000000,5.355237,0.000166,5.259185,0.094071,1254,1
57563,46,s8,N,2,L,-0.291500,2.581800,-0.279872,2.536753,0.044813,1054,1
58581,47,s1,N,2,L,0.570260,5.234025,0.490899,5.202541,0.084415,1018,1
59709,48,s9,N,2,L,-0.824097,2.818928,-0.779988,2.821421,0.043636,1127,1
60800,49,s2,N,2,L,1.041917,4.891346,1.075824,4.929005,0.049275,1090,1
61818,50,s10,N,2,L,-1.214200,3.252181,-1.232469,3.227686,0.029408,1018,1
63000,51,s3,N,2,L,1.333417,4.386454,1.328834,4.396489,0.011011,1181,1
64000,52,s11,N,2,L,-1.394357,3.806647,-1.297238,3.734088,0.120026,1000,1
65309,53,s4,N,2,L,1.394357,3.806647,1.324276,3.822884,0.069866,1309,1
66400,54,s12,N,2,L,-1.333417,4.386454,-1.368440,4.281966,0.110006,1090,1
67636,55,s5,N,2,L,1.214200,3.252181,1.231531,3.222432,0.033289,1236,1
68781,56,s13,N,2,L,-1.041917,4.891346,-1.020216,4.877758,0.024908,1145,1
69672,57,s6,N,2,L,0.824097,2.818928,0.886135,2.756879,0.084149,890,1
