mode,path_radius,time_stamp,x,z,dx,dz,distance_traveled,fvec_x,fvec_z,is_stopped,colliding,distance_from_line,distance_outside,user_speed,hdirX,hdirY,hdirZ,hupX,hupY,hupZ
J,L,463,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,0.093364,-0.486157,-0.868869,0.114367,0.872141,-0.475699,
J,L,554,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,0.086559,-0.499216,-0.862143,0.115776,0.864569,-0.488996,
J,L,645,0.000000,-0.636350,0.000000,-0.636350,0.636350,0.000000,-1.000000,0,0,0.032175,0.000000,6.997856,0.067936,-0.517225,-0.853149,0.110518,0.853763,-0.508797,
J,L,736,0.000000,-1.272364,0.000000,-0.636014,0.636014,0.000000,-1.000000,0,0,0.103864,0.000000,6.997856,0.044521,-0.518890,-0.853681,0.101358,0.852465,-0.512865,
J,L,827,0.000000,-1.908567,0.000000,-0.636203,0.636203,-0.048926,-0.998802,0,0,0.214111,0.000000,6.997856,0.011353,-0.518037,-0.855283,0.084383,0.852784,-0.515403,
J,L,918,-0.031120,-2.543875,-0.031120,-0.635308,0.636070,-0.127915,-0.991785,0,0,0.331129,0.000000,6.997856,-0.020853,-0.515703,-0.856514,0.069180,0.853902,-0.515815,
J,L,1009,-0.112522,-3.175019,-0.081401,-0.631143,0.636371,-0.206136,-0.978523,0,0,0.437504,0.000000,6.997856,-0.038854,-0.511521,-0.858392,0.058737,0.856386,-0.512984,
J,L,1100,-0.243662,-3.797538,-0.131140,-0.622519,0.636182,-0.283037,-0.959109,0,0,0.532184,0.000000,6.997856,-0.078853,-0.500420,-0.862185,0.034143,0.863015,-0.504024,
J,L,1190,-0.423755,-4.407806,-0.180093,-0.610269,0.636287,-0.358170,-0.933656,0,0,0.613437,0.000000,6.997856,-0.105141,-0.490714,-0.864954,0.021862,0.868424,-0.495340,
J,L,1281,-0.651571,-5.001664,-0.227816,-0.593858,0.636056,-0.431023,-0.902341,0,0,0.681456,0.000000,6.997856,-0.123467,-0.480348,-0.868345,0.013567,0.874141,-0.485483,
J,L,1372,-0.925723,-5.575597,-0.274152,-0.573933,0.636049,-0.501165,-0.865352,0,0,0.738864,0.000000,6.997856,-0.135197,-0.474920,-0.869582,0.008928,0.877020,-0.480370,
J,L,1463,-1.244584,-6.126167,-0.318860,-0.550570,0.636238,-0.568175,-0.822908,0,2,0.782097,0.032211,6.997856,-0.144743,-0.467127,-0.872262,0.006927,0.881046,-0.472980,
J,L,1554,-1.353019,-6.283217,-0.108435,-0.157051,0.190848,-0.631603,-0.775292,0,2,0.786683,0.036797,2.099357,-0.150426,-0.457375,-0.876459,0.008366,0.885926,-0.463751,
