mode,time_stamp,x,z,dx,dz,distance_traveled,fvec_x,fvec_z,user_speed,hdirX,hdirY,hdirZ,hupX,hupY,hupZ,angle
M,427,-0.138492,-1.487568,-0.138492,-1.487568,1.494001,-0.183011,-0.983111,3.500000,0.013577,-0.221528,-0.975060,0.043826,0.974344,-0.220755,0.184048
M,518,-0.195943,-1.800587,-0.057451,-0.313020,0.318248,-0.214119,-0.976808,3.500000,0.013577,-0.221528,-0.975060,0.040636,0.974466,-0.220827,0.215790
M,609,-0.263169,-2.111518,-0.067226,-0.310931,0.318115,-0.245000,-0.969523,3.500000,0.013577,-0.221528,-0.975060,0.040636,0.974466,-0.220827,0.247520
M,699,-0.340131,-2.420198,-0.076963,-0.308680,0.318130,-0.275633,-0.961263,3.500000,0.013577,-0.221528,-0.975060,0.040636,0.974466,-0.220827,0.279248
M,790,-0.427866,-2.726171,-0.087735,-0.305973,0.318303,-0.306004,-0.952030,3.500000,0.013337,-0.221526,-0.975063,0.040636,0.974464,-0.220834,0.310993
M,881,-0.525108,-3.029038,-0.097242,-0.302866,0.318094,-0.336050,-0.941844,3.500000,-0.002685,-0.228222,-0.973606,0.037149,0.972914,-0.228162,0.342720
M,972,-0.631817,-3.328711,-0.106709,-0.299673,0.318105,-0.365758,-0.930710,3.500000,-0.036198,-0.234428,-0.971459,0.030950,0.971367,-0.235559,0.374448
M,1063,-0.747924,-3.624983,-0.116107,-0.296273,0.318211,-0.395111,-0.918633,3.500000,-0.071080,-0.232831,-0.969916,0.024825,0.971662,-0.235070,0.406188
M,1154,-0.873246,-3.917379,-0.125322,-0.292396,0.318121,-0.424057,-0.905635,3.500000,-0.112326,-0.225100,-0.967839,0.020807,0.973257,-0.228774,0.437920
M,1245,-1.007650,-4.205615,-0.134405,-0.288235,0.318032,-0.452568,-0.891730,3.500000,-0.148907,-0.220192,-0.964024,0.015349,0.974261,-0.224902,0.469643
M,1336,-1.151130,-4.489659,-0.143480,-0.284045,0.318226,-0.480641,-0.876918,3.500000,-0.176659,-0.217637,-0.959909,0.005704,0.975005,-0.222109,0.501385
M,1427,-1.303377,-4.768905,-0.152247,-0.279246,0.318053,-0.508213,-0.861231,3.500000,-0.216919,-0.209838,-0.953370,-0.005528,0.976872,-0.213754,0.533109
