mode,time_stamp,x,z,dx,dz,distance_traveled,fvec_x,fvec_z,user_speed,hdirX,hdirY,hdirZ,hupX,hupY,hupZ
J,472,-0.166137,-1.644350,-0.166137,-1.644350,1.652721,-0.198597,-0.980081,3.500000,0.850846,-0.185750,0.491486,0.206558,0.978359,0.012171,
J,563,-0.228998,-1.956098,-0.062860,-0.311748,0.318022,-0.229582,-0.973289,3.500000,0.850846,-0.185750,0.491486,0.206558,0.978359,0.012171,
J,654,-0.301672,-2.265947,-0.072674,-0.309849,0.318258,-0.260358,-0.965512,3.500000,0.850951,-0.185764,0.491299,0.206554,0.978359,0.012164,
J,745,-0.383998,-2.573185,-0.082326,-0.307239,0.318077,-0.290855,-0.956767,3.500000,0.853731,-0.186131,0.486312,0.206410,0.978391,0.012111,
J,836,-0.475975,-2.877821,-0.091977,-0.304636,0.318219,-0.321072,-0.947055,3.500000,0.886430,-0.179749,0.426536,0.194574,0.980846,0.008979,
J,927,-0.577418,-3.179252,-0.101443,-0.301431,0.318043,-0.350949,-0.936395,3.500000,0.940578,-0.160374,0.299322,0.164467,0.986314,0.011642,
J,1018,-0.688349,-3.477530,-0.110931,-0.298278,0.318238,-0.380489,-0.924785,3.500000,0.990035,-0.121326,0.071484,0.119774,0.992470,0.025625,
J,1109,-0.808530,-3.772025,-0.120181,-0.294495,0.318073,-0.409633,-0.912251,3.500000,0.984383,-0.073124,-0.160133,0.080070,0.996089,0.037354,
J,1200,-0.937978,-4.062765,-0.129448,-0.290740,0.318255,-0.438377,-0.898791,3.500000,0.892587,-0.013467,-0.450675,0.045429,0.997153,0.060178,
J,1290,-1.077488,-4.348804,-0.139511,-0.286039,0.318248,-0.466680,-0.884427,3.500000,0.720507,0.039810,-0.692305,0.037368,0.994671,0.096086,
J,1381,-1.225854,-4.630194,-0.148365,-0.281390,0.318108,-0.494500,-0.869177,3.500000,0.535440,0.088165,-0.839959,0.050561,0.989407,0.136083,
J,1472,-1.383032,-4.906871,-0.157178,-0.276677,0.318206,-0.521834,-0.853047,3.500000,0.362004,0.128662,-0.923255,0.052549,0.986038,0.158015,
J,1563,-1.548763,-5.178374,-0.165731,-0.271502,0.318088,-0.548631,-0.836064,3.500000,0.237277,0.139905,-0.961315,0.059665,0.985608,0.158168,
J,1654,-1.722954,-5.444561,-0.174191,-0.266188,0.318117,-0.574880,-0.818238,3.500000,0.152656,0.144168,-0.977708,0.059813,0.986141,0.154750,
J,1745,-1.905384,-5.705097,-0.182430,-0.260536,0.318056,-0.600546,-0.799590,3.500000,0.069884,0.143800,-0.987136,0.051324,0.987727,0.147519,
J,1836,-2.095993,-5.959888,-0.190609,-0.254791,0.318199,-0.625617,-0.780130,3.500000,-0.008175,0.126649,-0.991914,0.035578,0.991356,0.126284,
J,1927,-2.294478,-6.208524,-0.198485,-0.248635,0.318144,-0.650054,-0.759888,3.500000,-0.074236,0.091709,-0.993015,0.028130,0.995559,0.089841,
J,2018,-2.500669,-6.450796,-0.206191,-0.242272,0.318136,-0.673836,-0.738882,3.500000,-0.134851,0.031455,-0.990367,0.018656,0.999400,0.029202,
J,2109,-2.714394,-6.686501,-0.213726,-0.235705,0.318175,-0.696939,-0.717130,3.500000,-0.195738,-0.067385,-0.978338,-0.000870,0.997648,-0.068541,
J,2200,-2.935513,-6.915467,-0.221118,-0.228967,0.318307,-0.719352,-0.694646,3.500000,-0.256710,-0.175778,-0.950369,-0.027725,0.984257,-0.174557,
J,2290,-3.164351,-7.136453,-0.228838,-0.220986,0.318122,-0.741026,-0.671476,3.500000,-0.295327,-0.245160,-0.923406,-0.042914,0.968945,-0.243526,
J,2381,-3.400025,-7.350144,-0.235675,-0.213691,0.318130,-0.761955,-0.647630,3.500000,-0.306721,-0.304806,-0.901674,-0.052468,0.951310,-0.303738,
J,2472,-3.642354,-7.556378,-0.242328,-0.206234,0.318206,-0.782122,-0.623126,3.500000,-0.291604,-0.347461,-0.891200,-0.054962,0.936240,-0.347037,
J,2563,-3.890973,-7.754843,-0.248619,-0.198465,0.318119,-0.801497,-0.597999,3.500000,-0.271614,-0.368263,-0.889162,-0.051747,0.928146,-0.368601,
J,2654,-4.145628,-7.945347,-0.254655,-0.190504,0.318027,-0.820061,-0.572277,3.500000,-0.248731,-0.383549,-0.889395,-0.044591,0.921814,-0.385060,
J,2745,-4.406325,-8.127887,-0.260697,-0.182540,0.318251,-0.837812,-0.545959,3.500000,-0.210154,-0.403501,-0.890518,-0.027776,0.912955,-0.407113,
J,2836,-4.672425,-8.302015,-0.266099,-0.174129,0.318009,-0.854706,-0.519112,3.500000,-0.128981,-0.416736,-0.899831,0.005120,0.907118,-0.420844,
J,2927,-4.943962,-8.467763,-0.271537,-0.165748,0.318127,-0.870744,-0.491736,3.500000,0.082955,-0.425409,-0.901191,0.075397,0.904395,-0.419981,
J,3018,-5.220629,-8.624931,-0.276667,-0.157168,0.318192,-0.885910,-0.463858,3.500000,0.440775,-0.436195,-0.784507,0.183277,0.899310,-0.397053,
J,3109,-5.502116,-8.773340,-0.281487,-0.148409,0.318214,-0.900183,-0.435512,3.500000,0.703841,-0.477197,-0.526204,0.312022,0.873158,-0.374483,
J,3200,-5.788184,-8.912859,-0.286068,-0.139519,0.318277,-0.913552,-0.406721,3.500000,0.796295,-0.498003,-0.343377,0.388361,0.856096,-0.340991,
J,3290,-6.078750,-9.042228,-0.290566,-0.129369,0.318065,-0.925992,-0.377542,3.500000,0.857567,-0.497937,-0.128987,0.452281,0.849391,-0.271986,
J,3381,-6.373394,-9.162467,-0.294644,-0.120239,0.318234,-0.937506,-0.347968,3.500000,0.877324,-0.479493,0.019707,0.472650,0.856236,-0.208475,
J,3472,-6.671589,-9.273361,-0.298194,-0.110894,0.318147,-0.948075,-0.318046,3.500000,0.881229,-0.457607,0.118453,0.471978,0.865570,-0.167409,
J,3563,-6.973043,-9.374808,-0.301455,-0.101447,0.318067,-0.957687,-0.287812,3.500000,0.879604,-0.382175,0.283264,0.426148,0.897673,-0.112168,
J,3654,-7.277604,-9.466760,-0.304561,-0.091951,0.318139,-0.966336,-0.257282,3.500000,0.837285,-0.285478,0.466323,0.357936,0.930905,-0.072786,
J,3745,-7.584867,-9.549089,-0.307263,-0.082330,0.318102,-0.974012,-0.226496,3.500000,0.797559,-0.230901,0.557300,0.314706,0.947425,-0.057842,
J,3836,-7.894593,-9.621735,-0.309726,-0.072645,0.318131,-0.980708,-0.195479,3.500000,0.778193,-0.206954,0.592946,0.287540,0.956784,-0.043428,
J,3927,-8.206502,-9.684625,-0.311909,-0.062890,0.318186,-0.986417,-0.164261,3.500000,0.776539,-0.199797,0.597552,0.276294,0.960323,-0.037962,
J,4018,-8.520160,-9.737676,-0.313658,-0.053051,0.318113,-0.991132,-0.132886,3.500000,0.774294,-0.207900,0.597700,0.281390,0.959095,-0.030923,
J,4109,-8.835435,-9.780862,-0.315275,-0.043186,0.318219,-0.994849,-0.101366,3.500000,0.777769,-0.213433,0.591204,0.283864,0.958472,-0.027420,
J,4200,-9.151896,-9.814119,-0.316461,-0.033257,0.318203,-0.997564,-0.069746,3.500000,0.784239,-0.216056,0.581627,0.286469,0.957603,-0.030542,
J,4290,-9.469343,-9.836317,-0.317448,-0.022198,0.318223,-0.999275,-0.038059,3.500000,0.804432,-0.227751,0.548651,0.288937,0.956985,-0.026384,
J,4381,-9.787193,-9.848524,-0.317850,-0.012207,0.318084,-0.999980,-0.006342,3.500000,0.827571,-0.240020,0.507461,0.293346,0.955642,-0.026390,
J,4472,-10.105392,-9.850743,-0.318199,-0.002219,0.318207,-0.999678,0.025396,3.500000,0.846515,-0.248949,0.470570,0.296542,0.954597,-0.028436,
J,4563,-10.423358,-9.842969,-0.317966,0.007774,0.318061,-0.998369,0.057091,3.500000,0.873048,-0.261267,0.411737,0.297925,0.954229,-0.026217,
J,4654,-10.741065,-9.825205,-0.317707,0.017764,0.318203,-0.996055,0.088744,3.500000,0.924859,-0.276060,0.261586,0.296984,0.953899,-0.043331,
J,4745,-11.057956,-9.797478,-0.316891,0.027727,0.318101,-0.992738,0.120300,3.500000,0.952048,-0.299460,-0.062673,0.295010,0.952828,-0.071329,
J,4836,-11.373845,-9.759809,-0.315889,0.037669,0.318127,-0.988421,0.151736,3.500000,0.821663,-0.300482,-0.484336,0.280165,0.952929,-0.115904,
J,4927,-11.688351,-9.712244,-0.314506,0.047565,0.318082,-0.983110,0.183014,3.500000,0.499144,-0.266962,-0.824371,0.244633,0.956073,-0.161490,
J,5018,-12.001302,-9.654806,-0.312951,0.057438,0.318178,-0.976808,0.214117,3.500000,0.169168,-0.222837,-0.960065,0.190302,0.963160,-0.190023,
J,5109,-12.312293,-9.587566,-0.310991,0.067240,0.318177,-0.969522,0.245001,3.500000,0.002485,-0.214839,-0.976646,0.157118,0.964603,-0.211790,
J,5200,-12.621097,-9.510570,-0.308804,0.076997,0.318258,-0.961258,0.275650,3.500000,-0.073235,-0.216575,-0.973515,0.126779,0.966196,-0.224484,
J,5290,-12.926949,-9.422868,-0.305852,0.087702,0.318178,-0.952029,0.306006,3.500000,-0.147713,-0.222083,-0.963774,0.098886,0.966264,-0.237812,
J,5381,-13.229763,-9.325642,-0.302814,0.097226,0.318040,-0.941844,0.336050,3.500000,-0.225491,-0.232295,-0.946146,0.075609,0.964057,-0.254711,
J,5472,-13.529523,-9.218902,-0.299760,0.106740,0.318197,-0.930707,0.365767,3.500000,-0.288559,-0.246259,-0.925251,0.053030,0.960764,-0.272249,
J,5563,-13.825748,-9.102811,-0.296226,0.116091,0.318161,-0.918633,0.395113,3.500000,-0.349531,-0.254975,-0.901563,0.022980,0.959635,-0.280308,
J,5654,-14.118218,-8.977455,-0.292470,0.125356,0.318202,-0.905631,0.424067,3.500000,-0.386814,-0.255613,-0.886023,0.000660,0.960738,-0.277457,
J,5745,-14.406536,-8.843005,-0.288318,0.134450,0.318126,-0.891721,0.452586,3.500000,-0.428547,-0.256976,-0.866205,-0.022204,0.961407,-0.274234,
J,5836,-14.690451,-8.699587,-0.283915,0.143418,0.318082,-0.876915,0.480646,3.500000,-0.471604,-0.256223,-0.843765,-0.042284,0.962326,-0.268592,
J,5927,-14.969754,-8.547304,-0.279304,0.152283,0.318120,-0.861225,0.508224,3.500000,-0.513037,-0.254867,-0.819656,-0.062513,0.963460,-0.260454,
J,6018,-15.244225,-8.386271,-0.274470,0.161034,0.318223,-0.844664,0.535297,3.500000,-0.554085,-0.258646,-0.791260,-0.081591,0.962804,-0.257586,
J,6109,-15.513403,-8.216759,-0.269178,0.169512,0.318106,-0.827255,0.561825,3.500000,-0.604927,-0.271042,-0.748732,-0.109561,0.959674,-0.258885,
J,6200,-15.777271,-8.038771,-0.263868,0.177988,0.318286,-0.809008,0.587799,3.500000,-0.674083,-0.296021,-0.676745,-0.158219,0.952785,-0.259168,
J,6290,-16.034605,-7.851807,-0.257334,0.186964,0.318082,-0.789957,0.613161,3.500000,-0.752793,-0.329938,-0.569600,-0.221597,0.941831,-0.252685,
J,6381,-16.286097,-7.656727,-0.251492,0.195079,0.318283,-0.770098,0.637926,3.500000,-0.849981,-0.363342,-0.381465,-0.294533,0.928109,-0.227736,
J,6472,-16.531168,-7.453979,-0.245071,0.202748,0.318067,-0.749474,0.662034,3.500000,-0.910359,-0.382838,-0.157105,-0.354304,0.917231,-0.182089,
J,6563,-16.769779,-7.243610,-0.238611,0.210369,0.318105,-0.728096,0.685475,3.500000,-0.915215,-0.398678,0.058633,-0.402918,0.903108,-0.148503,
J,6654,-17.001673,-7.025846,-0.231894,0.217764,0.318113,-0.705982,0.708230,3.500000,-0.895849,-0.397789,0.198038,-0.424594,0.897730,-0.117480,
J,6745,-17.226603,-6.800917,-0.224930,0.224929,0.318098,-0.683157,0.730271,3.500000,-0.885892,-0.391956,0.248125,-0.424578,0.900573,-0.093282,
J,6836,-17.444384,-6.569003,-0.217781,0.231914,0.318139,-0.659645,0.751578,3.500000,-0.885658,-0.385707,0.258533,-0.416726,0.905837,-0.076155,
J,6927,-17.654804,-6.330326,-0.210421,0.238677,0.318188,-0.635464,0.772130,3.500000,-0.882371,-0.382525,0.274037,-0.414221,0.907732,-0.066658,
J,7018,-17.857647,-6.085128,-0.202843,0.245198,0.318225,-0.610640,0.791908,3.500000,-0.886368,-0.377851,0.267546,-0.407125,0.911279,-0.061804,
J,7109,-18.052626,-5.833759,-0.194979,0.251369,0.318124,-0.585207,0.810884,3.500000,-0.907095,-0.367288,0.205619,-0.386221,0.920478,-0.059618,
J,7200,-18.239651,-5.576333,-0.187025,0.257426,0.318193,-0.559189,0.829041,3.500000,-0.942034,-0.335070,0.017339,-0.335518,0.940731,-0.049524,
J,7290,-18.417542,-5.312600,-0.177891,0.263733,0.318120,-0.532606,0.846363,3.500000,-0.924039,-0.288647,-0.250668,-0.284743,0.957163,-0.052533,
J,7381,-18.587067,-5.043399,-0.169525,0.269201,0.318132,-0.505486,0.862835,3.500000,-0.795349,-0.208263,-0.569251,-0.219289,0.974373,-0.050092,
J,7472,-18.748144,-4.768847,-0.161077,0.274552,0.318315,-0.477844,0.878445,3.500000,-0.624786,-0.139817,-0.768176,-0.165211,0.985233,-0.044952,
J,7563,-18.900373,-4.489629,-0.152229,0.279218,0.318020,-0.449739,0.893159,3.500000,-0.509259,-0.112767,-0.853193,-0.130441,0.990039,-0.052996,
J,7654,-19.043846,-4.205597,-0.143473,0.284032,0.318211,-0.421167,0.906983,3.500000,-0.443858,-0.108720,-0.889477,-0.099417,0.992459,-0.071698,
J,7745,-19.178267,-3.917323,-0.134420,0.288274,0.318074,-0.392185,0.919886,3.500000,-0.399123,-0.119843,-0.909031,-0.072910,0.992430,-0.098826,
J,7836,-19.303606,-3.624874,-0.125340,0.292449,0.318177,-0.362801,0.931867,3.500000,-0.370696,-0.131156,-0.919447,-0.051578,0.991358,-0.120620,
J,7927,-19.419712,-3.328593,-0.116106,0.296280,0.318218,-0.333044,0.942911,3.500000,-0.347503,-0.139496,-0.927244,-0.035432,0.990119,-0.135676,
J,8018,-19.526403,-3.028963,-0.106691,0.299631,0.318059,-0.302969,0.953001,3.500000,-0.311427,-0.153738,-0.937752,-0.017845,0.987598,-0.155983,
J,8109,-19.623667,-2.726014,-0.097263,0.302949,0.318180,-0.272579,0.962134,3.500000,-0.267078,-0.173409,-0.947944,-0.001514,0.983751,-0.179533,
J,8199,-19.711308,-2.420375,-0.087641,0.305639,0.317956,-0.241930,0.970294,3.500000,-0.225095,-0.181615,-0.957261,0.013959,0.981772,-0.189548,
J,8290,-19.788321,-2.111506,-0.077013,0.308869,0.318325,-0.211018,0.977482,3.500000,-0.174125,-0.181822,-0.967792,0.028881,0.981440,-0.189582,
J,8381,-19.855577,-1.800429,-0.067257,0.311078,0.318265,-0.179882,0.983688,3.500000,-0.115858,-0.176728,-0.977417,0.038295,0.982517,-0.182190,
J,8472,-19.912996,-1.487560,-0.057419,0.312868,0.318094,-0.148586,0.988900,3.500000,-0.058873,-0.180729,-0.981769,0.043395,0.982082,-0.183389,
J,8563,-19.960566,-1.172997,-0.047569,0.314563,0.318140,-0.117136,0.993116,3.500000,-0.009899,-0.179367,-0.983732,0.050864,0.982417,-0.179639,
J,8654,-19.998232,-0.857100,-0.037666,0.315897,0.318135,-0.085571,0.996332,3.500000,0.031743,-0.174403,-0.984162,0.062216,0.983094,-0.172207,
J,8745,-20.025963,-0.540109,-0.027731,0.316991,0.318202,-0.053909,0.998546,3.500000,0.071438,-0.154173,-0.985458,0.070264,0.986306,-0.149212,
J,8836,-20.043713,-0.222639,-0.017750,0.317470,0.317966,-0.022217,0.999753,3.500000,0.108245,-0.120892,-0.986746,0.078183,0.990540,-0.112780,
J,8927,-20.051487,0.095498,-0.007774,0.318136,0.318231,0.009523,0.999955,3.500000,0.156354,-0.073467,-0.984965,0.081324,0.994802,-0.061291,
J,9018,-20.049261,0.413744,0.002226,0.318246,0.318254,0.041256,0.999149,3.500000,0.212235,-0.029572,-0.976771,0.069016,0.997500,-0.015203,
J,9109,-20.037046,0.731617,0.012215,0.317873,0.318107,0.072933,0.997337,3.500000,0.250582,-0.008830,-0.968055,0.057006,0.998358,0.005650,
J,9200,-20.014841,1.049072,0.022205,0.317455,0.318231,0.104542,0.994520,3.500000,0.326740,0.020160,-0.944899,0.034775,0.998839,0.033336,
J,9290,-19.981596,1.365383,0.033245,0.316311,0.318053,0.136030,0.990705,3.500000,0.381504,0.028245,-0.923936,0.023335,0.998920,0.040173,
J,9381,-19.938402,1.680711,0.043194,0.315328,0.318273,0.167404,0.985888,3.500000,0.436101,0.025915,-0.899525,0.023601,0.998912,0.040220,
J,9472,-19.885336,1.994436,0.053066,0.313725,0.318181,0.148581,0.988900,3.500000,0.490100,0.020967,-0.871414,0.025089,0.998957,0.038146,
J,9563,-19.837780,2.308904,0.047556,0.314469,0.318044,0.117140,0.993116,3.500000,0.540799,0.014051,-0.841034,0.020722,0.999334,0.030020,
J,9654,-19.800117,2.624764,0.037663,0.315860,0.318097,0.085575,0.996332,3.500000,0.577183,0.011517,-0.816533,0.017533,0.999496,0.026491,
J,9745,-19.772390,2.941683,0.027727,0.316919,0.318130,0.053921,0.998545,3.500000,0.599478,-0.005322,-0.800374,0.029827,0.999432,0.015696,
J,9836,-19.754627,3.259439,0.017763,0.317756,0.318252,0.022200,0.999753,3.500000,0.613357,-0.032298,-0.789145,0.046550,0.998905,-0.004702,
J,9927,-19.746859,3.577535,0.007769,0.318096,0.318191,-0.009537,0.999954,3.500000,0.626320,-0.051774,-0.777845,0.058633,0.998095,-0.019222,
J,10018,-19.749083,3.895616,-0.002224,0.318081,0.318088,-0.041252,0.999149,3.500000,0.632923,-0.067319,-0.771282,0.068603,0.997170,-0.030740,
J,10109,-19.761299,4.213518,-0.012217,0.317903,0.318137,-0.072933,0.997337,3.500000,0.636483,-0.087795,-0.766277,0.082368,0.995556,-0.045648,
J,10200,-19.783501,4.530950,-0.022202,0.317431,0.318207,-0.104540,0.994521,3.500000,0.644150,-0.116096,-0.756038,0.101031,0.992668,-0.066352,
J,10290,-19.816755,4.847353,-0.033255,0.316403,0.318146,-0.136042,0.990703,3.500000,0.647386,-0.143150,-0.748598,0.125048,0.988843,-0.080949,
J,10381,-19.859934,5.162533,-0.043179,0.315180,0.318124,-0.167397,0.985889,3.500000,0.643114,-0.191730,-0.741380,0.162763,0.980252,-0.112316,
J,10472,-19.913008,5.476317,-0.053074,0.313784,0.318241,-0.198603,0.980080,3.500000,0.625319,-0.279698,-0.728523,0.222927,0.958684,-0.176717,
J,10563,-19.975870,5.788059,-0.062862,0.311742,0.318017,-0.229588,0.973288,3.500000,0.603715,-0.349298,-0.716603,0.268995,0.935437,-0.229346,
J,10654,-20.048550,6.097925,-0.072680,0.309866,0.318275,-0.260365,0.965510,3.500000,0.592640,-0.387065,-0.706370,0.297711,0.920130,-0.254420,
J,10745,-20.130886,6.405188,-0.082336,0.307263,0.318103,-0.290863,0.956765,3.500000,0.589337,-0.414165,-0.693650,0.320469,0.908002,-0.269874,
J,10836,-20.222847,6.709766,-0.091961,0.304578,0.318158,-0.321077,0.947053,3.500000,0.589753,-0.436864,-0.679221,0.339830,0.897212,-0.282005,
J,10927,-20.324287,7.011182,-0.101440,0.301416,0.318028,-0.350952,0.936393,3.500000,0.592868,-0.453694,-0.665334,0.358692,0.888486,-0.286238,
J,11018,-20.435196,7.309405,-0.110909,0.298223,0.318179,-0.380487,0.924786,3.500000,0.599238,-0.455953,-0.658043,0.367669,0.886895,-0.279710,
J,11109,-20.555410,7.603978,-0.120214,0.294573,0.318158,-0.409636,0.912250,3.500000,0.606846,-0.456822,-0.650425,0.375164,0.886063,-0.272294,
J,11200,-20.684847,7.894689,-0.129436,0.290710,0.318224,-0.438381,0.898789,3.500000,0.614313,-0.456538,-0.643578,0.378987,0.886100,-0.266823,
J,11290,-20.824295,8.180598,-0.139448,0.285910,0.318104,-0.466669,0.884433,3.500000,0.621009,-0.450933,-0.641099,0.376860,0.888965,-0.260226,
J,11381,-20.972704,8.462081,-0.148409,0.281483,0.318210,-0.494497,0.869180,3.500000,0.633778,-0.441271,-0.635299,0.373451,0.893810,-0.248272,
J,11472,-21.129833,8.738678,-0.157129,0.276597,0.318112,-0.521824,0.853053,3.500000,0.642588,-0.440667,-0.626812,0.379529,0.893716,-0.239226,
J,11563,-21.295580,9.010213,-0.165747,0.271535,0.318124,-0.548628,0.836067,3.500000,0.651139,-0.457827,-0.605320,0.399011,0.884951,-0.240108,
J,11654,-21.469841,9.276506,-0.174261,0.266294,0.318244,-0.574883,0.818235,3.500000,0.646805,-0.487410,-0.586579,0.423194,0.869230,-0.255629,
J,11745,-21.652313,9.537097,-0.182472,0.260591,0.318125,-0.600554,0.799584,3.500000,0.637355,-0.513100,-0.574897,0.443636,0.854352,-0.270683,
J,11836,-21.842833,9.791768,-0.190519,0.254671,0.318049,-0.625616,0.780131,3.500000,0.631132,-0.535284,-0.561376,0.462136,0.840743,-0.282104,
J,11927,-22.041368,10.040466,-0.198536,0.248698,0.318225,-0.650059,0.759885,3.500000,0.648820,-0.556251,-0.519248,0.482724,0.828370,-0.284220,
J,12018,-22.247635,10.282819,-0.206266,0.242352,0.318246,-0.673847,0.738872,3.500000,0.723679,-0.559296,-0.404322,0.499446,0.828745,-0.252458,
J,12109,-22.461264,10.518415,-0.213629,0.235597,0.318030,-0.696943,0.717127,3.500000,0.815066,-0.530910,-0.231951,0.495152,0.846198,-0.196909,
J,12200,-22.682291,10.747293,-0.221027,0.228877,0.318179,-0.719343,0.694654,3.500000,0.885647,-0.464243,-0.010414,0.458654,0.878049,-0.136621,
J,12290,-22.911173,10.968321,-0.228882,0.221028,0.318183,-0.741020,0.671483,3.500000,0.916940,-0.344872,0.200709,0.368110,0.925227,-0.091925,
J,12381,-23.146898,11.182061,-0.235725,0.213740,0.318200,-0.761955,0.647630,3.500000,0.900631,-0.247028,0.357547,0.291081,0.953815,-0.074220,
J,12472,-23.389181,11.388257,-0.242283,0.206196,0.318147,-0.782122,0.623127,3.500000,0.822501,-0.149525,0.548757,0.217558,0.974161,-0.060646,
J,12563,-23.637798,11.586720,-0.248617,0.198463,0.318117,-0.801495,0.598001,3.500000,0.784852,-0.122403,0.607474,0.189975,0.980622,-0.047856,
J,12654,-23.892557,11.777301,-0.254759,0.190580,0.318156,-0.820066,0.572269,3.500000,0.755092,-0.105929,0.647005,0.168423,0.985083,-0.035280,
J,12745,-24.153185,11.959791,-0.260628,0.182490,0.318166,-0.837812,0.545959,3.500000,0.716273,-0.092649,0.691643,0.148850,0.988621,-0.021720,
J,12836,-24.419342,12.133955,-0.266157,0.174164,0.318077,-0.854710,0.519107,3.500000,0.715570,-0.092414,0.692401,0.140405,0.990009,-0.012967,
J,12927,-24.690962,12.299747,-0.271620,0.165792,0.318221,-0.870752,0.491722,3.500000,0.730058,-0.105880,0.675134,0.146828,0.989155,-0.003646,
J,13018,-24.967499,12.456841,-0.276537,0.157094,0.318043,-0.885910,0.463856,3.500000,0.742187,-0.118521,0.659629,0.154038,0.988056,0.004215,
J,13109,-25.249002,12.605258,-0.281504,0.148417,0.318232,-0.900185,0.435508,3.500000,0.764152,-0.133426,0.631086,0.161803,0.986742,0.012700,
J,13200,-25.534914,12.744705,-0.285912,0.139447,0.318105,-0.913546,0.406737,3.500000,0.808519,-0.154519,0.567821,0.171166,0.984942,0.024306,
J,13290,-25.825523,12.874094,-0.290609,0.129389,0.318112,-0.925987,0.377553,3.500000,0.910314,-0.174579,0.375301,0.181672,0.983217,0.016708,
J,13381,-26.120270,12.994379,-0.294746,0.120285,0.318346,-0.937510,0.347961,3.500000,0.981120,-0.190895,0.031013,0.190392,0.981534,0.018464,
J,13472,-26.418392,13.105245,-0.298122,0.110866,0.318069,-0.948074,0.318050,3.500000,0.940166,-0.202148,-0.274271,0.216634,0.975976,0.023263,
J,13563,-26.719957,13.206730,-0.301565,0.101485,0.318184,-0.957689,0.287807,3.500000,0.841373,-0.187739,-0.506799,0.230038,0.972944,0.021486,
J,13654,-27.024458,13.298661,-0.304501,0.091931,0.318075,-0.966335,0.257283,3.500000,0.769210,-0.164993,-0.617327,0.228451,0.973246,0.024539,
J,13745,-27.331787,13.381008,-0.307329,0.082347,0.318170,-0.974014,0.226490,3.500000,0.755366,-0.160138,-0.635436,0.228737,0.973123,0.026668,
J,13836,-27.641510,13.453650,-0.309723,0.072642,0.318128,-0.980709,0.195474,3.500000,0.753374,-0.167885,-0.635800,0.231359,0.972715,0.017293,
J,13927,-27.953316,13.516521,-0.311806,0.062870,0.318081,-0.986416,0.164267,3.500000,0.743019,-0.180383,-0.644503,0.236985,0.971512,0.001304,
J,14018,-28.267038,13.569583,-0.313723,0.053062,0.318178,-0.991131,0.132884,3.500000,0.741079,-0.186254,-0.645067,0.241473,0.970404,-0.002776,
J,14109,-28.582338,13.612770,-0.315300,0.043187,0.318244,-0.994850,0.101362,3.500000,0.743783,-0.188132,-0.641400,0.242302,0.970194,-0.003594,
J,14200,-28.898764,13.646025,-0.316425,0.033255,0.318168,-0.997564,0.069748,3.500000,0.740295,-0.195077,-0.643357,0.243305,0.969847,-0.014110,
J,14290,-29.216255,13.668226,-0.317492,0.022202,0.318267,-0.999275,0.038050,3.500000,0.731811,-0.202176,-0.650829,0.245744,0.969020,-0.024698,
J,14381,-29.534132,13.680430,-0.317877,0.012204,0.318111,-0.999979,0.006332,3.500000,0.723089,-0.209029,-0.658368,0.251572,0.967348,-0.030825,
J,14472,-29.852259,13.682647,-0.318127,0.002216,0.318134,-0.999678,-0.025393,3.500000,0.719029,-0.210296,-0.662400,0.253265,0.966866,-0.032040,
J,14563,-30.170218,13.674873,-0.317959,-0.007773,0.318054,-0.998369,-0.057091,3.500000,0.719312,-0.210339,-0.662078,0.253252,0.966870,-0.032025,
J,14654,-30.487947,13.657108,-0.317730,-0.017765,0.318226,-0.996054,-0.088748,3.500000,0.745755,-0.218806,-0.629264,0.250636,0.967283,-0.039306,
J,14745,-30.804783,13.629386,-0.316835,-0.027722,0.318046,-0.992739,-0.120297,3.500000,0.826849,-0.221033,-0.517170,0.231224,0.971828,-0.045668,
J,14836,-31.120647,13.591722,-0.315865,-0.037664,0.318102,-0.988422,-0.151731,3.500000,0.962562,-0.179445,-0.203158,0.174546,0.983756,-0.041931,
J,14927,-31.435251,13.544141,-0.314604,-0.047581,0.318182,-0.983110,-0.183020,3.500000,0.978440,-0.124508,0.164779,0.133923,0.989863,-0.047272,
J,15018,-31.748159,13.486711,-0.312908,-0.057430,0.318135,-0.976809,-0.214114,3.500000,0.914131,-0.072405,0.398902,0.104122,0.992849,-0.058395,
J,15109,-32.059147,13.419473,-0.310987,-0.067238,0.318173,-0.969521,-0.245003,3.500000,0.866188,-0.056507,0.496513,0.101451,0.992780,-0.063999,
J,15200,-32.367939,13.342479,-0.308792,-0.076994,0.318246,-0.961258,-0.275645,3.500000,0.816550,-0.058517,0.574302,0.109703,0.992450,-0.054854,
J,15290,-32.673763,13.254786,-0.305824,-0.087693,0.318149,-0.952030,-0.306004,3.500000,0.814769,-0.063483,0.576300,0.110400,0.992788,-0.046721,
J,15381,-32.976654,13.157535,-0.302891,-0.097251,0.318120,-0.941845,-0.336050,3.500000,0.820859,-0.065546,0.567357,0.108281,0.993237,-0.041915,
J,15472,-33.276356,13.050817,-0.299702,-0.106718,0.318135,-0.930710,-0.365763,3.500000,0.821382,-0.065629,0.566590,0.108984,0.993115,-0.042960,
J,15563,-33.572674,12.934689,-0.296318,-0.116128,0.318261,-0.918629,-0.395122,3.500000,0.824455,-0.066055,0.562059,0.109703,0.992980,-0.044219,
