time_stamp,trial_index,slot,mode,size_index,targetRadius,targetX,targetY,userX,userY,distance_from_center,elaspedTime,is_hit
727,0,s0,J,2,L,0.000000,4.828535,0.078296,4.966717,0.153338,727,0
1454,0,s0,J,2,L,0.000000,4.828535,0.035754,4.883347,0.063604,1454,1
3818,1,s8,J,2,L,-0.291500,2.055098,-0.315678,2.106132,0.055777,2363,1
5181,2,s1,J,2,L,0.570260,4.707322,0.584517,4.671674,0.037694,1363,1
6545,3,s9,J,2,L,-0.824097,2.292225,-0.796287,2.311804,0.033191,1363,1
7909,4,s2,J,2,L,1.041917,4.364643,1.048012,4.352479,0.013565,1363,1
9181,5,s10,J,2,L,-1.214200,2.725478,-1.221043,2.662187,0.063014,1272,1
10363,6,s3,J,2,L,1.333417,3.859750,1.430538,3.901462,0.101840,1181,1
11636,7,s11,J,2,L,-1.394357,3.279944,-1.382192,3.333777,0.055103,1272,1
12909,8,s4,J,2,L,1.394357,3.279944,1.372585,3.286444,0.022075,1272,1
14272,9,s12,J,2,L,-1.333417,3.859750,-1.372565,3.863604,0.038141,1363,1
15454,10,s5,J,2,L,1.214200,2.725478,1.253666,2.739386,0.041239,1181,1
16727,11,s13,J,2,L,-1.041917,4.364643,-1.107415,4.322755,0.077578,1272,1
18090,12,s6,J,2,L,0.824097,2.292225,0.857092,2.375987,0.089497,1363,1
19272,13,s14,J,2,L,-0.570260,4.707322,-0.622052,4.698479,0.052416,1181,1
20636,14,s7,J,2,L,0.291500,2.055098,0.303111,2.121603,0.066030,1363,1
21636,15,s0,J,2,L,0.000000,4.828535,-0.038314,4.875358,0.059117,1000,1
22636,16,s8,J,2,L,-0.291500,2.055098,-0.282031,2.024779,0.031023,999,1
23727,17,s1,J,2,L,0.570260,4.707322,0.573428,4.657840,0.048393,1090,1
25090,18,s9,J,2,L,-0.824097,2.292225,-0.827387,2.306677,0.014637,1363,1
26454,19,s2,J,2,L,1.041917,4.364643,1.102443,4.323020,0.073301,1363,1
27636,20,s10,J,2,L,-1.214200,2.725478,-1.208864,2.751388,0.026153,1181,1
28818,21,s3,J,2,L,1.333417,3.859750,1.316200,3.788631,0.072601,1181,1
30000,22,s11,J,2,L,-1.394357,3.279944,-1.413008,3.251140,0.033883,1181,1
31272,23,s4,J,2,L,1.394357,3.279944,1.428754,3.320123,0.052293,1272,1
32636,24,s12,J,2,L,-1.333417,3.859750,-1.325048,3.780857,0.078982,1363,1
33909,25,s5,J,2,L,1.214200,2.725478,1.168343,2.781017,0.070475,1272,1
35000,26,s13,J,2,L,-1.041917,4.364643,-1.032007,4.329357,0.035756,1090,1
36181,27,s6,J,2,L,0.824097,2.292225,0.842542,2.254872,0.040496,1181,1
37818,28,s14,J,2,L,-0.570260,4.707322,-0.588950,4.705302,0.018727,1636,1
39000,29,s7,J,2,L,0.291500,2.055098,0.277777,2.036602,0.022695,1181,1
40181,30,s0,J,2,L,0.000000,4.828535,-0.009154,4.829834,0.009234,1181,1
41454,31,s8,J,2,L,-0.291500,2.055098,-0.345072,2.054755,0.053447,1272,1
42363,32,s1,J,2,L,0.570260,4.707322,0.599209,4.783671,0.078719,909,1
43636,33,s9,J,2,L,-0.824097,2.292225,-0.803615,2.268706,0.031152,1272,1
44818,34,s2,J,2,L,1.041917,4.364643,1.080727,4.330340,0.051786,1181,1
46090,35,s10,J,2,L,-1.214200,2.725478,-1.190379,2.801020,0.078174,1272,1
47181,36,s3,J,2,L,1.333417,3.859750,1.404519,3.863544,0.069084,1090,1
48363,37,s11,J,2,L,-1.394357,3.279944,-1.428241,3.317912,0.050211,1181,1
49454,38,s4,J,2,L,1.394357,3.279944,1.291668,3.204626,0.125559,1090,1
50636,39,s12,J,2,L,-1.333417,3.859750,-1.326055,3.893482,0.034502,1181,1
51909,40,s5,J,2,L,1.214200,2.725478,1.219005,2.780281,0.054780,1272,1
53000,41,s13,J,2,L,-1.041917,4.364643,-0.993000,4.389411,0.054627,1090,1
54272,42,s6,J,2,L,0.824097,2.292225,0.797060,2.332154,0.046921,1272,1
55909,43,s14,J,2,L,-0.570260,4.707322,-0.551135,4.660505,0.048960,1636,1
57454,44,s7,J,2,L,0.291500,2.055098,0.215945,2.135617,0.108582,1545,1
58727,45,s0,J,2,L,0.000000,4.828535,-0.027082,4.855322,0.037498,1272,1
59727,46,s8,J,2,L,-0.291500,2.055098,-0.293036,2.058793,0.003899,1000,1
61000,47,s1,J,2,L,0.570260,4.707322,0.534794,4.688967,0.039396,1272,1
62272,48,s9,J,2,L,-0.824097,2.292225,-0.802748,2.287952,0.021647,1272,1
63454,49,s2,J,2,L,1.041917,4.364643,0.984720,4.339826,0.061094,1181,1
64727,50,s10,J,2,L,-1.214200,2.725478,-1.159982,2.850011,0.133033,1272,1
65727,51,s3,J,2,L,1.333417,3.859750,1.407752,3.918597,0.092451,1000,1
66909,52,s11,J,2,L,-1.394357,3.279944,-1.362020,3.293651,0.033973,1181,1
68090,53,s4,J,2,L,1.394357,3.279944,1.470032,3.289459,0.074167,1181,1
69363,54,s12,J,2,L,-1.333417,3.859750,-1.266118,3.766816,0.113022,1272,1
70636,55,s5,J,2,L,1.214200,2.725478,1.238845,2.696523,0.036858,1272,1
71727,56,s13,J,2,L,-1.041917,4.364643,-1.056447,4.378956,0.019759,1090,1
72818,57,s6,J,2,L,0.824097,2.292225,0.848418,2.196201,0.095534,1090,1
73818,58,s14,J,2,L,-0.570260,4.707322,-0.530642,4.708840,0.039431,1000,1
74909,59,s7,J,2,L,0.291500,2.055098,0.291512,2.031229,0.022945,1090,1
75909,60,s0,J,2,L,0.000000,4.828535,-0.009680,4.924368,0.093711,999,1
77181,61,s8,J,2,L,-0.291500,2.055098,-0.321170,2.141654,0.089467,1272,1
78181,62,s1,J,2,L,0.570260,4.707322,0.573103,4.769734,0.061196,1000,1
79181,63,s9,J,2,L,-0.824097,2.292225,-0.837596,2.242555,0.049798,999,1
80454,64,s2,J,2,L,1.041917,4.364643,0.991729,4.444055,0.093909,1272,1
82272,65,s10,J,2,L,-1.214200,2.725478,-1.252794,2.740089,0.040777,1818,1
83272,66,s3,J,2,L,1.333417,3.859750,1.367258,3.852085,0.033753,1000,1
84454,67,s11,J,2,L,-1.394357,3.279944,-1.357164,3.358752,0.086401,1181,1
85636,68,s4,J,2,L,1.394357,3.279944,1.396162,3.296096,0.016250,1181,1
87363,69,s12,J,2,L,-1.333417,3.859750,-1.240398,3.882373,0.093731,1727,1
88636,70,s5,J,2,L,1.214200,2.725478,1.264770,2.719773,0.049521,1272,1
89727,71,s13,J,2,L,-1.041917,4.364643,-1.012833,4.294621,0.074396,1090,1
91090,72,s6,J,2,L,0.824097,2.292225,0.828453,2.290672,0.004534,1363,1
92272,73,s14,J,2,L,-0.570260,4.707322,-0.529492,4.670955,0.053260,1181,1
93636,74,s7,J,2,L,0.291500,2.055098,0.298089,2.082191,0.027087,1363,1
1272,0,s0,J,1,M,0.000000,4.951868,0.025431,4.936099,0.029624,1272,1
2727,1,s8,J,1,M,-0.291500,2.178431,-0.306675,2.238505,0.060699,1454,1
4090,2,s1,J,1,M,0.570260,4.830655,0.559163,4.872299,0.042291,1363,1
5454,3,s9,J,1,M,-0.824097,2.415558,-0.860469,2.460415,0.057670,1363,1
6909,4,s2,J,1,M,1.041917,4.487977,1.026722,4.517570,0.033223,1454,1
8181,5,s10,J,1,M,-1.214200,2.848812,-1.155661,2.890138,0.069612,1272,1
9363,6,s3,J,1,M,1.333417,3.983084,1.377736,4.017270,0.054735,1181,1
10909,7,s11,J,1,M,-1.394357,3.403278,-1.368292,3.405115,0.025373,1545,1
12272,8,s4,J,1,M,1.394357,3.403278,1.343466,3.383570,0.053616,1363,1
13818,9,s12,J,1,M,-1.333417,3.983084,-1.218843,3.977948,0.111781,1545,0
14818,9,s12,J,1,M,-1.333417,3.983084,-1.297960,3.964339,0.039010,2545,1
16181,10,s5,J,1,M,1.214200,2.848812,1.196015,2.880377,0.035516,1363,1
17636,11,s13,J,1,M,-1.041917,4.487977,-1.030895,4.480657,0.012839,1454,1
19181,12,s6,J,1,M,0.824097,2.415558,0.805095,2.427133,0.021705,1545,1
20727,13,s14,J,1,M,-0.570260,4.830655,-0.559728,4.831347,0.010498,1545,1
21909,14,s7,J,1,M,0.291500,2.178431,0.312016,2.173470,0.021004,1181,1
23454,15,s0,J,1,M,0.000000,4.951868,-0.019623,4.911125,0.044382,1545,1
24636,16,s8,J,1,M,-0.291500,2.178431,-0.376328,2.322894,0.165291,1181,0
25363,16,s8,J,1,M,-0.291500,2.178431,-0.332769,2.304818,0.130159,1909,0
26090,16,s8,J,1,M,-0.291500,2.178431,-0.278954,2.185491,0.014154,2636,1
