mode,time_stamp,x,z,dx,dz,distance_traveled,fvec_x,fvec_z,user_speed,hdirX,hdirY,hdirZ,hupX,hupY,hupZ,angle
M,499,-0.182680,-1.738169,-0.182680,-1.738169,1.747742,-0.207899,-0.978150,3.500000,0.139411,0.020703,-0.990018,0.015099,0.999621,0.023031,0.209426
M,590,-0.248856,-2.049525,-0.066176,-0.311356,0.318311,-0.238843,-0.971058,3.500000,0.141193,0.035952,-0.989329,-0.015955,0.999293,0.034037,0.241174
M,681,-0.324706,-2.358329,-0.075849,-0.308804,0.317983,-0.269515,-0.962996,3.500000,0.139223,0.044748,-0.989249,-0.035804,0.998553,0.040130,0.272889
M,772,-0.410309,-2.664943,-0.085603,-0.306614,0.318339,-0.299951,-0.953955,3.500000,0.128269,0.045325,-0.990703,-0.049670,0.997995,0.039227,0.304641
M,863,-0.505439,-2.968502,-0.095130,-0.303560,0.318117,-0.330064,-0.943959,3.500000,0.117087,0.041204,-0.992266,-0.048950,0.998164,0.035673,0.336372
M,954,-0.610029,-3.268849,-0.104590,-0.300347,0.318037,-0.359838,-0.933015,3.500000,0.104946,0.039639,-0.993688,-0.044250,0.998402,0.035154,0.368094
M,1045,-0.724013,-3.565801,-0.113984,-0.296952,0.318077,-0.389254,-0.921130,3.500000,0.091124,0.035145,-0.995219,-0.040642,0.998676,0.031545,0.399821
M,1136,-0.847319,-3.859148,-0.123306,-0.293347,0.318209,-0.418290,-0.908313,3.500000,0.070002,0.025018,-0.997233,-0.035253,0.999123,0.022591,0.431562
M,1227,-0.979755,-4.148421,-0.132436,-0.289273,0.318148,-0.446899,-0.894584,3.500000,0.050498,0.023379,-0.998451,-0.024171,0.999462,0.022180,0.463296
M,1318,-1.121284,-4.433527,-0.141529,-0.285106,0.318301,-0.475071,-0.879948,3.500000,0.030429,0.031777,-0.999032,-0.015973,0.999382,0.031302,0.495045
M,1409,-1.271584,-4.713837,-0.150300,-0.280310,0.318062,-0.502742,-0.864437,3.500000,-0.000199,0.026759,-0.999642,-0.012458,0.999564,0.026759,0.526767
M,1499,-1.430620,-4.989296,-0.159036,-0.275459,0.318073,-0.529907,-0.848056,3.500000,-0.020871,0.012511,-0.999704,-0.013586,0.999826,0.012796,0.558491
M,1590,-1.599248,-5.259168,-0.168628,-0.269872,0.318224,-0.556550,-0.830814,3.500000,-0.042516,0.011659,-0.999028,-0.016104,0.999794,0.012353,0.590228
M,1681,-1.776273,-5.523611,-0.177025,-0.264443,0.318227,-0.582636,-0.812734,3.500000,-0.059859,0.011187,-0.998144,-0.013985,0.999830,0.012044,0.621968
M,1772,-1.961411,-5.782212,-0.185138,-0.258601,0.318042,-0.608121,-0.793845,3.500000,-0.070621,0.010995,-0.997443,-0.013850,0.999832,0.012002,0.653691
M,1863,-2.154716,-6.035050,-0.193305,-0.252838,0.318267,-0.633010,-0.774143,3.500000,-0.076143,0.014347,-0.996994,-0.012108,0.999809,0.015312,0.685436
M,1954,-2.355783,-6.281585,-0.201067,-0.246535,0.318131,-0.657253,-0.753670,3.500000,-0.088971,0.016352,-0.995900,-0.007714,0.999824,0.017105,0.717168
M,2045,-2.564482,-6.521668,-0.208699,-0.240083,0.318111,-0.680833,-0.732439,3.500000,-0.098392,0.016330,-0.995014,-0.007627,0.999824,0.017163,0.748899
M,2136,-2.780669,-6.755130,-0.216187,-0.233462,0.318185,-0.703732,-0.710465,3.500000,-0.103775,0.016331,-0.994467,-0.007621,0.999823,0.017215,0.780637
M,2227,-3.004062,-6.981665,-0.223393,-0.226534,0.318155,-0.725921,-0.687778,3.500000,-0.104050,0.016331,-0.994438,-0.007620,0.999823,0.017217,0.812372
M,2318,-3.234421,-7.201035,-0.230359,-0.219370,0.318101,-0.747374,-0.664404,3.500000,-0.109328,0.019077,-0.993823,-0.013030,0.999702,0.020623,0.844101
M,2409,-3.471567,-7.413071,-0.237146,-0.212037,0.318116,-0.768074,-0.640361,3.500000,-0.138088,0.027591,-0.990035,-0.023699,0.999234,0.031153,0.875828
M,2499,-3.715311,-7.617597,-0.243744,-0.204525,0.318185,-0.788005,-0.615669,3.500000,-0.183896,0.044117,-0.981955,-0.026408,0.998410,0.049802,0.907561
M,2590,-3.966077,-7.813521,-0.250766,-0.195924,0.318229,-0.807145,-0.590353,3.500000,-0.230953,0.067377,-0.970629,-0.005823,0.997486,0.070627,0.939300
M,2681,-4.222754,-8.001382,-0.256677,-0.187861,0.318080,-0.825465,-0.564453,3.500000,-0.248791,0.078215,-0.965394,0.012178,0.996908,0.077629,0.971025
M,2772,-4.485289,-8.181149,-0.262535,-0.179767,0.318183,-0.842962,-0.537973,3.500000,-0.249119,0.078211,-0.965310,0.018750,0.996936,0.075935,1.002765
M,2863,-4.753344,-8.352579,-0.268055,-0.171431,0.318185,-0.859607,-0.510955,3.500000,-0.249101,0.079133,-0.965239,0.019710,0.996864,0.076639,1.034501
M,2954,-5.026599,-8.515473,-0.273255,-0.162894,0.318124,-0.875385,-0.483426,3.500000,-0.249135,0.077610,-0.965354,0.019791,0.996984,0.075045,1.066231
M,3045,-5.304824,-8.669699,-0.278225,-0.154225,0.318111,-0.890281,-0.455411,3.500000,-0.249188,0.075137,-0.965536,0.019173,0.997173,0.072650,1.097963
M,3136,-5.587863,-8.815163,-0.283039,-0.145464,0.318230,-0.904286,-0.426927,3.500000,-0.249188,0.075137,-0.965536,0.019173,0.997173,0.072650,1.129705
M,3227,-5.875222,-8.951612,-0.287359,-0.136449,0.318109,-0.917376,-0.398024,3.500000,-0.249166,0.076549,-0.965431,0.014933,0.997056,0.075202,1.161435
M,3318,-6.166757,-9.078980,-0.291534,-0.127369,0.318143,-0.929541,-0.368718,3.500000,-0.249010,0.083430,-0.964901,0.011107,0.996463,0.083293,1.193167
M,3409,-6.462117,-9.197119,-0.295361,-0.118138,0.318111,-0.940770,-0.339046,3.500000,-0.248629,0.089467,-0.964458,0.011468,0.995927,0.089430,1.224893
M,3500,-6.761188,-9.305973,-0.299071,-0.108854,0.318265,-0.951057,-0.309014,3.500000,-0.241422,0.089809,-0.966256,0.011465,0.995903,0.089701,1.256640
M,3590,-7.063624,-9.404240,-0.302436,-0.098267,0.318000,-0.960377,-0.278704,3.500000,-0.239264,0.084168,-0.967299,0.010084,0.996397,0.084205,1.288352
M,3681,-7.369232,-9.493033,-0.305607,-0.088794,0.318245,-0.968739,-0.248082,3.500000,-0.237423,0.076915,-0.968356,0.008320,0.996985,0.077149,1.320096
M,3772,-7.677480,-9.572180,-0.308249,-0.079146,0.318247,-0.976124,-0.217213,3.500000,-0.230249,0.074851,-0.970249,0.008304,0.997152,0.074956,1.351838
M,3863,-7.987969,-9.641582,-0.310489,-0.069402,0.318151,-0.982524,-0.186132,3.500000,-0.222640,0.083799,-0.971292,0.006205,0.996400,0.084543,1.383572
M,3954,-8.300381,-9.701179,-0.312412,-0.059597,0.318045,-0.987934,-0.154875,3.500000,-0.220591,0.097114,-0.970520,0.004540,0.995122,0.098544,1.415295
M,4045,-8.614564,-9.750943,-0.314183,-0.049765,0.318100,-0.992351,-0.123456,3.500000,-0.220347,0.106407,-0.969600,0.006616,0.994172,0.107600,1.447025
M,4136,-8.930203,-9.790822,-0.315639,-0.039879,0.318149,-0.995768,-0.091906,3.500000,-0.220347,0.106407,-0.969600,0.006090,0.994163,0.107719,1.478760
M,4227,-9.246883,-9.820762,-0.316680,-0.029940,0.318092,-0.998182,-0.060271,3.500000,-0.220347,0.106407,-0.969600,0.006090,0.994163,0.107719,1.510489
M,4318,-9.564538,-9.840748,-0.317655,-0.019986,0.318283,-0.999592,-0.028560,3.500000,-0.220347,0.106407,-0.969600,0.006090,0.994163,0.107719,1.542232
M,4409,-9.882450,-9.850743,-0.317912,-0.009995,0.318069,-0.999995,0.003162,3.500000,-0.220347,0.106407,-0.969600,0.006090,0.994163,0.107719,1.573958
M,4499,-10.200583,-9.850743,-0.318132,0.000000,0.318132,-0.999392,0.034885,3.500000,-0.221222,0.106394,-0.969402,0.006094,0.994163,0.107721,1.605689
M,4590,-10.518728,-9.839639,-0.318146,0.011105,0.318339,-0.997781,0.066589,3.500000,-0.224592,0.106347,-0.968633,0.006117,0.994161,0.107731,1.637435
M,4681,-10.836164,-9.818555,-0.317435,0.021084,0.318135,-0.995166,0.098211,3.500000,-0.224592,0.106347,-0.968633,0.006117,0.994161,0.107731,1.669166
M,4772,-11.152761,-9.787514,-0.316597,0.031041,0.318115,-0.991549,0.129734,3.500000,-0.221285,0.110032,-0.968982,0.006889,0.993766,0.111273,1.700897
M,4863,-11.468307,-9.746532,-0.315546,0.040981,0.318196,-0.986933,0.161133,3.500000,-0.215169,0.114606,-0.969829,0.007789,0.993260,0.115647,1.732635
M,4954,-11.782385,-9.695663,-0.314078,0.050869,0.318171,-0.981323,0.192369,3.500000,-0.209545,0.120754,-0.970314,0.009010,0.992541,0.121574,1.764372
M,5045,-12.094535,-9.634989,-0.312150,0.060675,0.317992,-0.974729,0.223392,3.500000,-0.203200,0.122729,-0.971415,0.011599,0.992345,0.122947,1.796090
M,5136,-12.404790,-9.564505,-0.310255,0.070484,0.318161,-0.967150,0.254209,3.500000,-0.194221,0.116446,-0.974022,0.019478,0.993191,0.114854,1.827826
M,5227,-12.712678,-9.484309,-0.307888,0.080195,0.318161,-0.958596,0.284769,3.500000,-0.191770,0.104079,-0.975906,0.026375,0.994548,0.100885,1.859562
M,5318,-13.017922,-9.394472,-0.305244,0.089837,0.318190,-0.949078,0.315042,3.500000,-0.194497,0.099360,-0.975858,0.025829,0.995030,0.096164,1.891297
M,5409,-13.320136,-9.295113,-0.302214,0.099360,0.318128,-0.938604,0.344995,3.500000,-0.203286,0.099446,-0.974056,0.026060,0.995026,0.096148,1.923030
M,5499,-13.619066,-9.186310,-0.298930,0.108803,0.318115,-0.927189,0.374594,3.500000,-0.210541,0.099562,-0.972502,0.026173,0.995018,0.096200,1.954754
