mode,time_stamp,x,z,dx,dz,distance_traveled,fvec_x,fvec_z,user_speed,hdirX,hdirY,hdirZ,hupX,hupY,hupZ,angle
N,327,-0.086519,-1.141679,-0.086519,-1.141679,1.144952,-0.148606,-0.988896,3.500000,-0.031500,-0.018226,-0.999338,-0.012166,0.999767,-0.017850,0.149158
N,381,-0.113104,-1.330843,-0.026585,-0.189164,0.191023,-0.167420,-0.985886,3.500000,-0.031500,-0.018226,-0.999337,-0.012166,0.999767,-0.017850,0.168212
N,409,-0.127463,-1.425018,-0.014359,-0.094176,0.095264,-0.176780,-0.984251,3.500000,-0.031500,-0.018226,-0.999338,-0.012166,0.999767,-0.017850,0.177714
N,427,-0.138508,-1.487657,-0.011045,-0.062639,0.063605,-0.183019,-0.983109,3.500000,-0.031500,-0.018226,-0.999338,-0.012166,0.999767,-0.017850,0.184057
N,445,-0.149562,-1.550345,-0.011054,-0.062687,0.063654,-0.189257,-0.981928,3.500000,-0.031500,-0.018226,-0.999338,-0.013109,0.999755,-0.017820,0.190406
N,463,-0.160610,-1.613005,-0.011049,-0.062660,0.063626,-0.195485,-0.980707,3.500000,-0.031500,-0.018226,-0.999338,-0.014612,0.999735,-0.017773,0.196752
N,481,-0.171646,-1.675592,-0.011036,-0.062587,0.063553,-0.201697,-0.979448,3.500000,-0.031500,-0.018226,-0.999338,-0.014996,0.999730,-0.017761,0.203090
N,500,-0.182720,-1.738379,-0.011074,-0.062787,0.063756,-0.207920,-0.978146,3.500000,-0.031500,-0.018226,-0.999338,-0.014996,0.999730,-0.017761,0.209448
N,518,-0.195947,-1.800605,-0.013227,-0.062226,0.063616,-0.214121,-0.976807,3.500000,-0.031500,-0.018226,-0.999338,-0.014996,0.999730,-0.017761,0.215792
N,536,-0.209173,-1.862830,-0.013226,-0.062226,0.063616,-0.220315,-0.975429,3.500000,-0.031500,-0.018226,-0.999338,-0.014996,0.999730,-0.017761,0.222137
N,554,-0.222431,-1.925204,-0.013258,-0.062373,0.063767,-0.226514,-0.974008,3.500000,-0.031500,-0.018226,-0.999338,-0.015280,0.999726,-0.017751,0.228497
N,572,-0.235652,-1.987402,-0.013221,-0.062198,0.063588,-0.232687,-0.972552,3.500000,-0.031121,-0.018221,-0.999350,-0.015819,0.999718,-0.017736,0.234840
N,590,-0.248864,-2.049563,-0.013213,-0.062161,0.063550,-0.238847,-0.971057,3.500000,-0.030577,-0.018215,-0.999366,-0.016253,0.999711,-0.017724,0.241178
N,609,-0.263186,-2.111586,-0.014321,-0.062023,0.063655,-0.245007,-0.969521,3.500000,-0.029576,-0.017323,-0.999412,-0.017281,0.999709,-0.016817,0.247527
N,627,-0.278582,-2.173337,-0.015396,-0.061750,0.063641,-0.251155,-0.967947,3.500000,-0.029580,-0.016987,-0.999418,-0.018631,0.999691,-0.016441,0.253873
N,645,-0.293964,-2.235033,-0.015383,-0.061696,0.063585,-0.257289,-0.966335,3.500000,-0.029580,-0.016987,-0.999418,-0.019605,0.999673,-0.016412,0.260215
N,663,-0.309381,-2.296864,-0.015416,-0.061831,0.063724,-0.263425,-0.964680,3.500000,-0.029580,-0.016987,-0.999418,-0.019605,0.999673,-0.016412,0.266571
N,681,-0.324754,-2.358523,-0.015373,-0.061659,0.063546,-0.269534,-0.962991,3.500000,-0.029875,-0.016992,-0.999409,-0.021644,0.999632,-0.016349,0.272909
N,700,-0.340179,-2.420370,-0.015425,-0.061847,0.063742,-0.275650,-0.961258,3.500000,-0.031744,-0.017025,-0.999351,-0.022612,0.999611,-0.016311,0.279265
N,718,-0.357719,-2.481542,-0.017541,-0.061172,0.063637,-0.281744,-0.959490,3.500000,-0.033126,-0.017050,-0.999306,-0.022604,0.999611,-0.016306,0.285611
