mode,path_radius,time_stamp,x,z,dx,dz,distance_traveled,fvec_x,fvec_z,is_stopped,colliding,distance_from_line,distance_outside,user_speed,hdirX,hdirY,hdirZ,hupX,hupY,hupZ
J,L,418,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,0.028236,-0.117759,-0.992641,-0.043048,0.991972,-0.118904,
J,L,509,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,0.033696,-0.023270,-0.999161,-0.076435,0.996741,-0.025791,
J,L,599,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,0.029376,0.038889,-0.998812,-0.096552,0.994681,0.035889,
J,L,690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,0.020455,0.065316,-0.997655,-0.107408,0.992232,0.062759,
J,L,781,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,0.002968,0.091171,-0.995831,-0.119572,0.988723,0.090164,
J,L,872,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.022813,0.079034,-0.996611,-0.131763,0.987936,0.081362,
J,L,963,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.069684,0.067954,-0.995252,-0.104778,0.991660,0.075045,
J,L,1054,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.181063,-0.001503,-0.983470,-0.089770,0.995850,0.015006,
J,L,1145,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.288137,-0.066415,-0.955283,-0.064473,0.996674,-0.049847,
J,L,1236,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.355197,-0.099695,-0.929460,-0.045318,0.994964,-0.089403,
J,L,1327,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.400502,-0.104356,-0.910334,-0.041752,0.994540,-0.095640,
J,L,1418,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.431716,-0.110651,-0.895197,-0.041421,0.993832,-0.102868,
