mode,path_radius,time_stamp,x,z,dx,dz,distance_traveled,fvec_x,fvec_z,is_stopped,colliding,distance_from_line,distance_outside,user_speed,hdirX,hdirY,hdirZ,hupX,hupY,hupZ
M,L,409,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,0.009438,-0.008451,-0.999920,0.018809,0.999789,-0.008273,
M,L,499,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,0.009401,-0.012355,-0.999880,0.018846,0.999748,-0.012176,
M,L,590,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,0.009029,-0.018755,-0.999783,0.018903,0.999649,-0.018582,
M,L,681,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.003306,-0.025627,-0.999666,0.018574,0.999497,-0.025684,
M,L,772,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.038474,-0.034489,-0.998664,0.013170,0.999300,-0.035019,
M,L,863,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.118246,-0.067269,-0.990703,0.000044,0.997703,-0.067749,
M,L,954,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.214427,-0.136211,-0.967196,-0.014835,0.990569,-0.136214,
M,L,1045,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.285673,-0.212995,-0.934358,-0.036946,0.976711,-0.211354,
M,L,1136,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.326357,-0.271035,-0.905556,-0.057365,0.961923,-0.267232,
M,L,1227,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.348271,-0.286924,-0.892402,-0.065455,0.957123,-0.282189,
M,L,1318,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.360281,-0.287779,-0.887345,-0.069205,0.956850,-0.282221,
