time_stamp,trial_index,slot,mode,size_index,targetRadius,targetX,targetY,userX,userY,distance_from_center,elaspedTime,is_hit
909,0,s0,M,2,L,0.000000,4.986358,-0.008102,4.963974,0.023410,909,1
2000,1,s8,M,2,L,-0.291500,2.212921,-0.245994,2.246865,0.055444,1090,1
3363,2,s1,M,2,L,0.570260,4.865145,0.649458,4.842393,0.082226,1363,1
4636,3,s9,M,2,L,-0.824097,2.450048,-0.877959,2.403922,0.068005,1272,1
5818,4,s2,M,2,L,1.041917,4.522466,1.083661,4.471226,0.066035,1181,1
6818,5,s10,M,2,L,-1.214200,2.883301,-1.237258,2.926814,0.049177,1000,1
7818,6,s3,M,2,L,1.333417,4.017573,1.382242,3.990037,0.054882,999,1
8818,7,s11,M,2,L,-1.394357,3.437767,-1.395980,3.499860,0.061999,1000,1
9727,8,s4,M,2,L,1.394357,3.437767,1.425816,3.512548,0.081081,909,1
10909,9,s12,M,2,L,-1.333417,4.017573,-1.268943,4.017145,0.062855,1181,1
12000,10,s5,M,2,L,1.214200,2.883301,1.206167,2.875055,0.011508,1090,1
13181,11,s13,M,2,L,-1.041917,4.522466,-0.987529,4.539306,0.056455,1181,1
14181,12,s6,M,2,L,0.824097,2.450048,0.816394,2.477064,0.027008,999,1
15181,13,s14,M,2,L,-0.570260,4.865145,-0.581798,4.851422,0.017886,1000,1
16363,14,s7,M,2,L,0.291500,2.212921,0.286027,2.217719,0.007081,1181,1
17272,15,s0,M,2,L,0.000000,4.986358,0.004147,4.871118,0.113467,909,1
18272,16,s8,M,2,L,-0.291500,2.212921,-0.232927,2.211108,0.058581,999,1
19363,17,s1,M,2,L,0.570260,4.865145,0.574017,4.870250,0.006218,1090,1
20272,18,s9,M,2,L,-0.824097,2.450048,-0.831749,2.541046,0.088981,909,1
21363,19,s2,M,2,L,1.041917,4.522466,1.014377,4.419191,0.105985,1090,1
22363,20,s10,M,2,L,-1.214200,2.883301,-1.193531,2.886538,0.020389,1000,1
23545,21,s3,M,2,L,1.333417,4.017573,1.327819,3.954562,0.063233,1181,1
24818,22,s11,M,2,L,-1.394357,3.437767,-1.341354,3.453869,0.054067,1272,1
25909,23,s4,M,2,L,1.394357,3.437767,1.400356,3.446717,0.010750,1090,1
27090,24,s12,M,2,L,-1.333417,4.017573,-1.286210,3.977123,0.061303,1181,1
28363,25,s5,M,2,L,1.214200,2.883301,1.164104,2.851936,0.058938,1272,1
29363,26,s13,M,2,L,-1.041917,4.522466,-1.063575,4.589815,0.069802,1000,1
30454,27,s6,M,2,L,0.824097,2.450048,0.855069,2.468048,0.035823,1090,1
31727,28,s14,M,2,L,-0.570260,4.865145,-0.533043,4.811207,0.064555,1272,1
32818,29,s7,M,2,L,0.291500,2.212921,0.258554,2.282909,0.074540,1090,1
33727,30,s0,M,2,L,0.000000,4.986358,-0.049302,5.013983,0.056257,909,1
34727,31,s8,M,2,L,-0.291500,2.212921,-0.239745,2.230898,0.054315,999,1
35545,32,s1,M,2,L,0.570260,4.865145,0.536868,4.844548,0.038637,818,1
36363,33,s9,M,2,L,-0.824097,2.450048,-0.815686,2.308352,0.137077,818,0
37000,33,s9,M,2,L,-0.824097,2.450048,-0.875102,2.410019,0.062559,1454,1
37909,34,s2,M,2,L,1.041917,4.522466,1.035668,4.595235,0.072697,909,1
38909,35,s10,M,2,L,-1.214200,2.883301,-1.279567,2.907687,0.069099,1000,1
39909,36,s3,M,2,L,1.333417,4.017573,1.305328,3.983058,0.043872,1000,1
40818,37,s11,M,2,L,-1.394357,3.437767,-1.410937,3.451061,0.021059,909,1
41727,38,s4,M,2,L,1.394357,3.437767,1.444329,3.513930,0.090742,909,1
42818,39,s12,M,2,L,-1.333417,4.017573,-1.292757,3.990640,0.047874,1090,1
43727,40,s5,M,2,L,1.214200,2.883301,1.186781,2.856334,0.038443,909,1
44454,41,s13,M,2,L,-1.041917,4.522466,-1.069760,4.470922,0.058582,727,1
45272,42,s6,M,2,L,0.824097,2.450048,0.837153,2.419081,0.032020,818,1
46090,43,s14,M,2,L,-0.570260,4.865145,-0.575933,4.765889,0.098440,818,1
47090,44,s7,M,2,L,0.291500,2.212921,0.300474,2.155138,0.055641,999,1
48090,45,s0,M,2,L,0.000000,4.986358,-0.039567,4.913844,0.081318,1000,1
49000,46,s8,M,2,L,-0.291500,2.212921,-0.286694,2.226380,0.013715,909,1
51636,47,s1,M,2,L,0.570260,4.865145,0.545724,4.804512,0.064506,2636,1
52545,48,s9,M,2,L,-0.824097,2.450048,-0.851119,2.420945,0.037949,909,1
53454,49,s2,M,2,L,1.041917,4.522466,0.998164,4.592112,0.082244,909,1
54545,50,s10,M,2,L,-1.214200,2.883301,-1.265808,2.895343,0.052398,1090,1
55454,51,s3,M,2,L,1.333417,4.017573,1.397824,4.082163,0.089520,909,1
56454,52,s11,M,2,L,-1.394357,3.437767,-1.298276,3.472995,0.099032,999,1
57454,53,s4,M,2,L,1.394357,3.437767,1.413731,3.401099,0.040546,1000,1
58636,54,s12,M,2,L,-1.333417,4.017573,-1.251569,3.935684,0.114563,1181,1
59636,55,s5,M,2,L,1.214200,2.883301,1.209023,2.953633,0.069125,1000,1
60636,56,s13,M,2,L,-1.041917,4.522466,-1.076530,4.518301,0.034309,1000,1
61818,57,s6,M,2,L,0.824097,2.450048,0.808524,2.482753,0.034626,1181,1
62909,58,s14,M,2,L,-0.570260,4.865145,-0.555834,4.779764,0.085622,1090,1
63818,59,s7,M,2,L,0.291500,2.212921,0.324450,2.253027,0.051038,909,1
64818,60,s0,M,2,L,0.000000,4.986358,0.038736,4.958656,0.047442,999,1
66000,61,s8,M,2,L,-0.291500,2.212921,-0.227580,2.186762,0.068783,1181,1
67090,62,s1,M,2,L,0.570260,4.865145,0.599297,4.787977,0.082140,1090,1
68727,63,s9,M,2,L,-0.824097,2.450048,-0.698600,2.542489,0.151724,1636,0
69454,63,s9,M,2,L,-0.824097,2.450048,-0.795043,2.516384,0.069594,2363,1
70454,64,s2,M,2,L,1.041917,4.522466,1.064613,4.537750,0.026678,999,1
71272,65,s10,M,2,L,-1.214200,2.883301,-1.301816,2.782908,0.127529,818,1
72272,66,s3,M,2,L,1.333417,4.017573,1.324851,3.906525,0.111376,1000,1
73272,67,s11,M,2,L,-1.394357,3.437767,-1.419615,3.420939,0.029324,999,1
74181,68,s4,M,2,L,1.394357,3.437767,1.412960,3.385991,0.054038,909,1
75090,69,s12,M,2,L,-1.333417,4.017573,-1.333367,4.018026,0.000455,909,1
76090,70,s5,M,2,L,1.214200,2.883301,1.167989,2.935399,0.066731,999,1
77000,71,s13,M,2,L,-1.041917,4.522466,-1.056973,4.598067,0.076277,909,1
77909,72,s6,M,2,L,0.824097,2.450048,0.851690,2.399613,0.054449,909,1
79000,73,s14,M,2,L,-0.570260,4.865145,-0.518220,4.882267,0.054771,1090,1
79909,74,s7,M,2,L,0.291500,2.212921,0.351193,2.278894,0.087660,909,1
1454,0,s0,M,1,M,0.000000,5.120613,0.033245,5.130999,0.034684,1454,1
2545,1,s8,M,1,M,-0.291500,2.347176,-0.338544,2.381147,0.057604,1090,1
4000,2,s1,M,1,M,0.570260,4.999400,0.563535,4.997543,0.006881,1454,1
5181,3,s9,M,1,M,-0.824097,2.584303,-0.867400,2.629009,0.062076,1181,1
6454,4,s2,M,1,M,1.041917,4.656721,1.049110,4.584115,0.072648,1272,1
7454,5,s10,M,1,M,-1.214200,3.017556,-1.164007,3.096067,0.090793,999,0
8545,5,s10,M,1,M,-1.214200,3.017556,-1.270579,3.040632,0.060388,2090,1
9727,6,s3,M,1,M,1.333417,4.151828,1.305619,4.127048,0.036426,1181,1
10909,7,s11,M,1,M,-1.394357,3.572022,-1.414828,3.542513,0.035263,1181,1
12090,8,s4,M,1,M,1.394357,3.572022,1.350483,3.622339,0.065290,1181,1
13454,9,s12,M,1,M,-1.333417,4.151828,-1.304718,4.093210,0.064815,1363,1
14727,10,s5,M,1,M,1.214200,3.017556,1.160484,3.066396,0.069937,1272,1
16090,11,s13,M,1,M,-1.041917,4.656721,-0.993979,4.627245,0.055319,1363,1
17636,12,s6,M,1,M,0.824097,2.584303,0.861169,2.604646,0.042267,1545,1
18818,13,s14,M,1,M,-0.570260,4.999400,-0.551792,4.972129,0.032377,1181,1
20463,14,s7,M,1,M,0.291500,2.347176,0.278724,2.384349,0.037765,1645,1
21554,15,s0,M,1,M,0.000000,5.120613,0.027645,5.106988,0.030765,1090,1
23009,16,s8,M,1,M,-0.291500,2.347176,-0.346435,2.330521,0.057083,1454,1
24281,17,s1,M,1,M,0.570260,4.999400,0.592926,4.908039,0.093322,1272,0
25554,17,s1,M,1,M,0.570260,4.999400,0.552174,4.995044,0.018360,2545,1
26918,18,s9,M,1,M,-0.824097,2.584303,-0.728202,2.617019,0.099912,1363,0
27645,18,s9,M,1,M,-0.824097,2.584303,-0.729087,2.546651,0.102174,2090,0
28827,18,s9,M,1,M,-0.824097,2.584303,-0.729170,2.614297,0.098063,3272,0
29372,18,s9,M,1,M,-0.824097,2.584303,-0.808158,2.603552,0.024177,3818,1
30918,19,s2,M,1,M,1.041917,4.656721,1.089511,4.640331,0.049590,1545,1
32009,20,s10,M,1,M,-1.214200,3.017556,-1.213771,3.043517,0.025594,1090,1
33281,21,s3,M,1,M,1.333417,4.151828,1.284323,4.098968,0.070891,1272,1
34645,22,s11,M,1,M,-1.394357,3.572022,-1.377804,3.572613,0.016144,1363,1
35918,23,s4,M,1,M,1.394357,3.572022,1.327493,3.633516,0.088323,1272,1
37281,24,s12,M,1,M,-1.333417,4.151828,-1.244387,4.151273,0.087187,1363,1
38554,25,s5,M,1,M,1.214200,3.017556,1.216608,3.031568,0.014077,1272,1
39736,26,s13,M,1,M,-1.041917,4.656721,-0.978428,4.659385,0.062852,1181,1
40827,27,s6,M,1,M,0.824097,2.584303,0.846762,2.572946,0.024443,1090,1
41918,28,s14,M,1,M,-0.570260,4.999400,-0.618851,5.007330,0.048898,1090,1
43190,29,s7,M,1,M,0.291500,2.347176,0.235101,2.366287,0.058823,1272,1
44827,30,s0,M,1,M,0.000000,5.120613,-0.021786,5.077463,0.047657,1636,1
45918,31,s8,M,1,M,-0.291500,2.347176,-0.288457,2.378940,0.030696,1090,1
47009,32,s1,M,1,M,0.570260,4.999400,0.618121,4.968691,0.056847,1090,1
48190,33,s9,M,1,M,-0.824097,2.584303,-0.825557,2.639550,0.053805,1181,1
49463,34,s2,M,1,M,1.041917,4.656721,1.031186,4.637709,0.021457,1272,1
50554,35,s10,M,1,M,-1.214200,3.017556,-1.179267,2.989563,0.044761,1090,1
51918,36,s3,M,1,M,1.333417,4.151828,1.357489,4.097017,0.059586,1363,1
53281,37,s11,M,1,M,-1.394357,3.572022,-1.373653,3.596595,0.031500,1363,1
54554,38,s4,M,1,M,1.394357,3.572022,1.367486,3.528375,0.051175,1272,1
55645,39,s12,M,1,M,-1.333417,4.151828,-1.270267,4.117248,0.070903,1090,1
57009,40,s5,M,1,M,1.214200,3.017556,1.179289,3.002064,0.037895,1363,1
58009,41,s13,M,1,M,-1.041917,4.656721,-1.022273,4.641987,0.024126,1000,1
59281,42,s6,M,1,M,0.824097,2.584303,0.841326,2.659262,0.075433,1272,1
60372,43,s14,M,1,M,-0.570260,4.999400,-0.574011,5.000529,0.003888,1090,1
61554,44,s7,M,1,M,0.291500,2.347176,0.319324,2.373124,0.037730,1181,1
62827,45,s0,M,1,M,0.000000,5.120613,-0.012421,5.100198,0.023582,1272,1
63827,46,s8,M,1,M,-0.291500,2.347176,-0.254323,2.399184,0.062224,1000,1
65190,47,s1,M,1,M,0.570260,4.999400,0.610231,4.970753,0.049172,1363,1
66281,48,s9,M,1,M,-0.824097,2.584303,-0.802343,2.568159,0.027053,1090,1
67645,49,s2,M,1,M,1.041917,4.656721,1.041125,4.637619,0.018998,1363,1
68827,50,s10,M,1,M,-1.214200,3.017556,-1.176685,3.037943,0.041597,1181,1
69918,51,s3,M,1,M,1.333417,4.151828,1.330616,4.168594,0.016995,1090,1
71009,52,s11,M,1,M,-1.394357,3.572022,-1.365481,3.564725,0.029351,1090,1
72372,53,s4,M,1,M,1.394357,3.572022,1.409652,3.556004,0.021478,1363,1
73463,54,s12,M,1,M,-1.333417,4.151828,-1.298560,4.108448,0.055175,1090,1
74463,55,s5,M,1,M,1.214200,3.017556,1.304412,3.059411,0.098325,1000,0
75190,55,s5,M,1,M,1.214200,3.017556,1.238080,2.978147,0.044424,1727,1
76281,56,s13,M,1,M,-1.041917,4.656721,-1.084325,4.663526,0.042333,1090,1
77463,57,s6,M,1,M,0.824097,2.584303,0.769826,2.665292,0.093255,1181,0
78099,57,s6,M,1,M,0.824097,2.584303,0.810271,2.578612,0.014922,1818,1
79372,58,s14,M,1,M,-0.570260,4.999400,-0.540079,4.928193,0.076297,1272,1
80554,59,s7,M,1,M,0.291500,2.347176,0.307983,2.381071,0.036835,1181,1
81827,60,s0,M,1,M,0.000000,5.120613,0.004885,5.106247,0.014985,1272,1
83099,61,s8,M,1,M,-0.291500,2.347176,-0.249313,2.408633,0.072607,1272,1
84281,62,s1,M,1,M,0.570260,4.999400,0.530825,5.018631,0.043846,1181,1
85554,63,s9,M,1,M,-0.824097,2.584303,-0.812779,2.595763,0.015626,1272,1
87099,64,s2,M,1,M,1.041917,4.656721,1.056365,4.514023,0.143248,1545,0
88190,64,s2,M,1,M,1.041917,4.656721,0.996797,4.650702,0.044476,2636,1
89463,65,s10,M,1,M,-1.214200,3.017556,-1.135028,3.072529,0.093833,1272,0
90100,65,s10,M,1,M,-1.214200,3.017556,-1.166741,3.075378,0.072690,1909,1
91281,66,s3,M,1,M,1.333417,4.151828,1.314425,4.143306,0.020215,1181,1
92372,67,s11,M,1,M,-1.394357,3.572022,-1.340383,3.608809,0.063840,1090,1
94918,68,s4,M,1,M,1.394357,3.572022,1.309846,3.605556,0.087648,2545,1
96554,69,s12,M,1,M,-1.333417,4.151828,-1.305840,4.114805,0.045820,1636,1
98009,70,s5,M,1,M,1.214200,3.017556,1.202199,3.062101,0.044927,1454,1
99372,71,s13,M,1,M,-1.041917,4.656721,-0.998603,4.622640,0.054365,1363,1
100827,72,s6,M,1,M,0.824097,2.584303,0.775667,2.610224,0.053126,1454,1
102281,73,s14,M,1,M,-0.570260,4.999400,-0.550625,4.954793,0.047967,1454,1
103736,74,s7,M,1,M,0.291500,2.347176,0.295419,2.396789,0.047899,1454,1
2090,0,s0,M,0,S,0.000000,5.066073,0.009226,4.999075,0.066468,2090,0
3363,0,s0,M,0,S,0.000000,5.066073,-0.016748,5.076113,0.019468,3363,1
4727,1,s8,M,0,S,-0.291500,2.292636,-0.269279,2.270008,0.031108,1363,1
6454,2,s1,M,0,S,0.570260,4.944860,0.533860,4.982945,0.052647,1727,0
6999,2,s1,M,0,S,0.570260,4.944860,0.575362,4.976638,0.031586,2272,1
8545,3,s9,M,0,S,-0.824097,2.529763,-0.790197,2.593440,0.070068,1545,0
9818,3,s9,M,0,S,-0.824097,2.529763,-0.769571,2.574993,0.069107,2818,0
10636,3,s9,M,0,S,-0.824097,2.529763,-0.880203,2.567333,0.067471,3636,0
11181,3,s9,M,0,S,-0.824097,2.529763,-0.818457,2.588171,0.057036,4181,0
11909,3,s9,M,0,S,-0.824097,2.529763,-0.893670,2.572486,0.081621,4909,0
12727,3,s9,M,0,S,-0.824097,2.529763,-0.846481,2.560419,0.037668,5727,1
14454,4,s2,M,0,S,1.041917,4.602182,1.027153,4.587928,0.020064,1727,1
16272,5,s10,M,0,S,-1.214200,2.963017,-1.195989,2.982281,0.025805,1818,1
17818,6,s3,M,0,S,1.333417,4.097289,1.371883,4.092344,0.037527,1545,1
19181,7,s11,M,0,S,-1.394357,3.517483,-1.378042,3.524479,0.017318,1363,1
20545,8,s4,M,0,S,1.394357,3.517483,1.371374,3.520295,0.022265,1363,1
22090,9,s12,M,0,S,-1.333417,4.097289,-1.339846,4.048977,0.048715,1545,0
23090,9,s12,M,0,S,-1.333417,4.097289,-1.320390,4.072036,0.028292,2545,1
24999,10,s5,M,0,S,1.214200,2.963017,1.265700,2.933337,0.056705,1909,0
25999,10,s5,M,0,S,1.214200,2.963017,1.193474,2.971686,0.021557,2909,1
27636,11,s13,M,0,S,-1.041917,4.602182,-1.011464,4.529448,0.078093,1636,0
29454,11,s13,M,0,S,-1.041917,4.602182,-1.031134,4.619472,0.020374,3454,1
31463,12,s6,M,0,S,0.824097,2.529763,0.824486,2.527484,0.002227,2009,1
33009,13,s14,M,0,S,-0.570260,4.944860,-0.571568,4.927899,0.016792,1545,1
34554,14,s7,M,0,S,0.291500,2.292636,0.284129,2.325482,0.032247,1545,1
36463,15,s0,M,0,S,0.000000,5.066073,-0.070864,5.036853,0.076310,1909,0
37099,15,s0,M,0,S,0.000000,5.066073,-0.001492,5.065568,0.001567,2545,1
38827,16,s8,M,0,S,-0.291500,2.292636,-0.282165,2.368505,0.073878,1727,0
39554,16,s8,M,0,S,-0.291500,2.292636,-0.306907,2.293515,0.015431,2454,1
41281,17,s1,M,0,S,0.570260,4.944860,0.556564,4.931136,0.018980,1727,1
42736,18,s9,M,0,S,-0.824097,2.529763,-0.799413,2.546560,0.029262,1454,1
44372,19,s2,M,0,S,1.041917,4.602182,1.013875,4.635336,0.043340,1636,1
45918,20,s10,M,0,S,-1.214200,2.963017,-1.183417,2.956467,0.031308,1545,1
47463,21,s3,M,0,S,1.333417,4.097289,1.299073,4.079522,0.037520,1545,1
51463,22,s11,M,0,S,-1.394357,3.517483,-1.409319,3.477624,0.042233,3999,1
53009,23,s4,M,0,S,1.394357,3.517483,1.389659,3.547031,0.029824,1545,1
54463,24,s12,M,0,S,-1.333417,4.097289,-1.346629,4.110545,0.018439,1454,1
56190,25,s5,M,0,S,1.214200,2.963017,1.200062,2.983085,0.023749,1727,1
57645,26,s13,M,0,S,-1.041917,4.602182,-1.007566,4.593555,0.034873,1454,1
59372,27,s6,M,0,S,0.824097,2.529763,0.864240,2.550736,0.045245,1727,0
60009,27,s6,M,0,S,0.824097,2.529763,0.816589,2.571060,0.040757,2363,1
61736,28,s14,M,0,S,-0.570260,4.944860,-0.528080,4.929773,0.044455,1727,1
63281,29,s7,M,0,S,0.291500,2.292636,0.267793,2.296314,0.023881,1545,1
