time_stamp,trial_index,slot,mode,size_index,targetRadius,targetX,targetY,userX,userY,distance_from_center,elaspedTime,is_hit
1636,0,s0,M,2,L,0.000000,4.679164,-0.005393,4.699047,0.020030,1636,1
3090,1,s8,M,2,L,-0.291500,1.905727,-0.272809,1.933160,0.032366,1454,1
4727,2,s1,M,2,L,0.570260,4.557951,0.545833,4.503975,0.057500,1636,1
5999,3,s9,M,2,L,-0.824097,2.142854,-0.887640,2.224964,0.103477,1272,1
7363,4,s2,M,2,L,1.041917,4.215272,1.015649,4.222601,0.026945,1363,1
9090,5,s10,M,2,L,-1.214200,2.576108,-1.270090,2.585072,0.055738,1727,1
10545,6,s3,M,2,L,1.333417,3.710380,1.397481,3.671669,0.073214,1454,1
12181,7,s11,M,2,L,-1.394357,3.130574,-1.356475,3.144817,0.039654,1636,1
13454,8,s4,M,2,L,1.394357,3.130574,1.358116,3.178442,0.058875,1272,1
15090,9,s12,M,2,L,-1.333417,3.710380,-1.365578,3.768396,0.065429,1636,1
16909,10,s5,M,2,L,1.214200,2.576108,1.195967,2.626261,0.052209,1818,1
18181,11,s13,M,2,L,-1.041917,4.215272,-1.103226,4.260622,0.074222,1272,1
19454,12,s6,M,2,L,0.824097,2.142854,0.762687,2.201204,0.081669,1272,1
20727,13,s14,M,2,L,-0.570260,4.557951,-0.592784,4.562054,0.022747,1272,1
21909,14,s7,M,2,L,0.291500,1.905727,0.243192,1.960348,0.070843,1181,1
22909,15,s0,M,2,L,0.000000,4.679164,-0.024483,4.818799,0.137424,999,0
24545,15,s0,M,2,L,0.000000,4.679164,-0.108656,4.589682,0.139347,2636,0
25181,15,s0,M,2,L,0.000000,4.679164,-0.053570,4.690083,0.054658,3272,1
26818,16,s8,M,2,L,-0.291500,1.905727,-0.364367,1.950148,0.084889,1636,1
28272,17,s1,M,2,L,0.570260,4.557951,0.567116,4.619123,0.059898,1454,1
30000,18,s9,M,2,L,-0.824097,2.142854,-0.850116,2.179896,0.045027,1727,1
31363,19,s2,M,2,L,1.041917,4.215272,1.026526,4.265212,0.052073,1363,1
32636,20,s10,M,2,L,-1.214200,2.576108,-1.228904,2.609157,0.036120,1272,1
34000,21,s3,M,2,L,1.333417,3.710380,1.311397,3.734324,0.032229,1363,1
35363,22,s11,M,2,L,-1.394357,3.130574,-1.468313,3.157059,0.076965,1363,1
36727,23,s4,M,2,L,1.394357,3.130574,1.339384,3.133217,0.052818,1363,1
37909,24,s12,M,2,L,-1.333417,3.710380,-1.274129,3.743793,0.067425,1181,1
39545,25,s5,M,2,L,1.214200,2.576108,1.193113,2.607068,0.036220,1636,1
40636,26,s13,M,2,L,-1.041917,4.215272,-1.033352,4.125137,0.089637,1090,1
42000,27,s6,M,2,L,0.824097,2.142854,0.901294,2.068617,0.102063,1363,1
43181,28,s14,M,2,L,-0.570260,4.557951,-0.582939,4.583241,0.027569,1181,1
44181,29,s7,M,2,L,0.291500,1.905727,0.286772,1.903265,0.005319,1000,1
45454,30,s0,M,2,L,0.000000,4.679164,-0.032956,4.749297,0.075753,1272,1
46636,31,s8,M,2,L,-0.291500,1.905727,-0.281227,1.926849,0.022811,1181,1
47727,32,s1,M,2,L,0.570260,4.557951,0.549489,4.635292,0.078765,1090,1
49000,33,s9,M,2,L,-0.824097,2.142854,-0.824962,2.203054,0.058884,1272,1
50090,34,s2,M,2,L,1.041917,4.215272,0.965030,4.243079,0.080712,1090,1
51181,35,s10,M,2,L,-1.214200,2.576108,-1.229328,2.647162,0.072294,1090,1
52272,36,s3,M,2,L,1.333417,3.710380,1.307618,3.693526,0.029782,1090,1
53272,37,s11,M,2,L,-1.394357,3.130574,-1.357767,3.170765,0.053648,999,1
54545,38,s4,M,2,L,1.394357,3.130574,1.401786,3.114539,0.017423,1272,1
56000,39,s12,M,2,L,-1.333417,3.710380,-1.275099,3.715340,0.057648,1454,1
57090,40,s5,M,2,L,1.214200,2.576108,1.182760,2.612592,0.046394,1090,1
60090,41,s13,M,2,L,-1.041917,4.215272,-0.991334,4.137446,0.091131,2999,1
61545,42,s6,M,2,L,0.824097,2.142854,0.815099,2.112361,0.031367,1454,1
62727,43,s14,M,2,L,-0.570260,4.557951,-0.584021,4.548107,0.016881,1181,1
63909,44,s7,M,2,L,0.291500,1.905727,0.251089,1.906263,0.040231,1181,1
65090,45,s0,M,2,L,0.000000,4.679164,0.012386,4.727023,0.047978,1181,1
66636,46,s8,M,2,L,-0.291500,1.905727,-0.297223,1.938891,0.032581,1545,1
67909,47,s1,M,2,L,0.570260,4.557951,0.613733,4.639013,0.088617,1272,1
69181,48,s9,M,2,L,-0.824097,2.142854,-0.858091,2.153792,0.035678,1272,1
70545,49,s2,M,2,L,1.041917,4.215272,1.051001,4.231521,0.018056,1363,1
71909,50,s10,M,2,L,-1.214200,2.576108,-1.205032,2.640945,0.064634,1363,1
73090,51,s3,M,2,L,1.333417,3.710380,1.274023,3.751480,0.071002,1181,1
74545,52,s11,M,2,L,-1.394357,3.130574,-1.411612,3.153107,0.028255,1454,1
76181,53,s4,M,2,L,1.394357,3.130574,1.345226,3.183955,0.070794,1636,1
77545,54,s12,M,2,L,-1.333417,3.710380,-1.317616,3.724483,0.020999,1363,1
79181,55,s5,M,2,L,1.214200,2.576108,1.199087,2.613887,0.039658,1636,1
80363,56,s13,M,2,L,-1.041917,4.215272,-1.113956,4.250361,0.078223,1181,1
81727,57,s6,M,2,L,0.824097,2.142854,0.844014,2.106079,0.040028,1363,1
82818,58,s14,M,2,L,-0.570260,4.557951,-0.593441,4.579154,0.030823,1090,1
83909,59,s7,M,2,L,0.291500,1.905727,0.262102,1.946965,0.048904,1090,1
84909,60,s0,M,2,L,0.000000,4.679164,0.016399,4.802568,0.120767,1000,1
86363,61,s8,M,2,L,-0.291500,1.905727,-0.329559,1.926653,0.043158,1454,1
87636,62,s1,M,2,L,0.570260,4.557951,0.533210,4.498452,0.068114,1272,1
90727,63,s9,M,2,L,-0.824097,2.142854,-0.814465,2.222123,0.077817,3090,1
