mode,time_stamp,x,z,dx,dz,distance_traveled,fvec_x,fvec_z,user_speed,hdirX,hdirY,hdirZ,hupX,hupY,hupZ,angle
N,300,-0.073233,-1.047145,-0.073233,-1.047145,1.049703,-0.139184,-0.990266,3.500000,-0.047637,0.209024,-0.976749,-0.007873,0.977751,0.209622,0.139638
N,354,-0.099801,-1.236188,-0.026568,-0.189043,0.190900,-0.158013,-0.987437,3.500000,-0.049661,0.222532,-0.973660,-0.004040,0.974810,0.223001,0.158678
N,381,-0.113085,-1.330711,-0.013284,-0.094523,0.095452,-0.167407,-0.985888,3.500000,-0.049117,0.226049,-0.972877,-0.000670,0.974045,0.226354,0.168199
N,400,-0.121940,-1.393694,-0.008854,-0.062983,0.063602,-0.173657,-0.984806,3.500000,-0.049117,0.226049,-0.972877,-0.000670,0.974045,0.226354,0.174542
N,418,-0.132980,-1.456308,-0.011041,-0.062615,0.063581,-0.179897,-0.983685,3.500000,-0.044159,0.232125,-0.971683,0.006267,0.972677,0.232077,0.180882
N,436,-0.144012,-1.518872,-0.011032,-0.062563,0.063529,-0.186126,-0.982526,3.500000,-0.039977,0.231886,-0.971921,0.008982,0.972743,0.231713,0.187218
N,454,-0.155085,-1.581669,-0.011073,-0.062798,0.063766,-0.192371,-0.981322,3.500000,-0.037426,0.230775,-0.972287,0.010583,0.973006,0.230538,0.193578
N,472,-0.166127,-1.644295,-0.011043,-0.062625,0.063591,-0.198591,-0.980082,3.500000,-0.030536,0.226163,-0.973611,0.014316,0.974064,0.225819,0.199921
N,490,-0.177186,-1.707013,-0.011059,-0.062718,0.063686,-0.204812,-0.978801,3.500000,-0.023195,0.218786,-0.975497,0.016219,0.975714,0.218449,0.206272
N,509,-0.189289,-1.769283,-0.012103,-0.062270,0.063435,-0.211000,-0.977486,3.500000,-0.016973,0.209203,-0.977725,0.016247,0.977794,0.208936,0.212598
N,527,-0.202545,-1.831649,-0.013256,-0.062366,0.063759,-0.217212,-0.976125,3.500000,-0.014278,0.202693,-0.979138,0.016144,0.979157,0.202462,0.218957
N,545,-0.215789,-1.893953,-0.013243,-0.062305,0.063697,-0.223409,-0.974725,3.500000,-0.012628,0.197412,-0.980239,0.016109,0.980230,0.197203,0.225311
N,563,-0.229023,-1.956217,-0.013234,-0.062264,0.063655,-0.229593,-0.973287,3.500000,-0.012628,0.197412,-0.980239,0.016109,0.980230,0.197203,0.231660
N,581,-0.242234,-2.018368,-0.013211,-0.062151,0.063539,-0.235757,-0.971812,3.500000,-0.005925,0.166750,-0.985981,0.022297,0.985775,0.166581,0.237997
N,599,-0.255467,-2.080625,-0.013233,-0.062257,0.063648,-0.241921,-0.970296,3.500000,-0.004577,0.156445,-0.987676,0.025435,0.987385,0.156281,0.244345
N,618,-0.270888,-2.142480,-0.015422,-0.061856,0.063749,-0.248084,-0.968739,3.500000,-0.003374,0.138438,-0.990365,0.030488,0.989925,0.138273,0.250702
N,636,-0.286243,-2.204064,-0.015355,-0.061584,0.063469,-0.254211,-0.967149,3.500000,-0.003334,0.130612,-0.991428,0.032794,0.990914,0.130434,0.257032
N,654,-0.301667,-2.265926,-0.015424,-0.061862,0.063756,-0.260356,-0.965513,3.500000,-0.004970,0.115401,-0.993307,0.038523,0.992604,0.115126,0.263391
