mode,time_stamp,x,z,dx,dz,distance_traveled,fvec_x,fvec_z,user_speed,hdirX,hdirY,hdirZ,hupX,hupY,hupZ,angle
M,3227,-5.875239,-8.951618,-0.287291,-0.136415,0.318033,-0.917376,-0.398022,3.500000,-0.384714,-0.257854,-0.886288,-0.135094,0.965578,-0.222282,1.161437
M,3318,-6.166894,-9.079036,-0.291655,-0.127418,0.318273,-0.929547,-0.368704,3.500000,-0.385043,-0.254978,-0.886977,-0.142225,0.965990,-0.215951,1.193182
M,3409,-6.462346,-9.197202,-0.295452,-0.118166,0.318206,-0.940778,-0.339025,3.500000,-0.386325,-0.245591,-0.889066,-0.149244,0.967843,-0.202501,1.224917
M,3500,-6.761349,-9.306026,-0.299004,-0.108824,0.318191,-0.951063,-0.308998,3.500000,-0.387736,-0.236166,-0.891003,-0.153424,0.969673,-0.190253,1.256657
M,3590,-7.063918,-9.404335,-0.302569,-0.098310,0.318139,-0.960385,-0.278674,3.500000,-0.385674,-0.214670,-0.897314,-0.152963,0.973974,-0.167265,1.288383
M,3681,-7.369458,-9.493098,-0.305540,-0.088763,0.318172,-0.968745,-0.248059,3.500000,-0.369167,-0.125756,-0.920816,-0.126327,0.988397,-0.084339,1.320120
M,3772,-7.677557,-9.572199,-0.308099,-0.079101,0.318091,-0.976126,-0.217205,3.500000,-0.340801,0.008915,-0.940093,-0.065638,0.997289,0.033253,1.351846
M,3863,-7.988128,-9.641616,-0.310572,-0.069417,0.318235,-0.982527,-0.186116,3.500000,-0.310144,0.080111,-0.947308,0.012420,0.996700,0.080222,1.383588
M,3954,-8.300554,-9.701209,-0.312426,-0.059593,0.318059,-0.987937,-0.154858,3.500000,-0.293630,0.106905,-0.949923,0.077096,0.993138,0.087937,1.415313
M,4045,-8.614718,-9.750965,-0.314164,-0.049756,0.318080,-0.992352,-0.123441,3.500000,-0.296225,0.106482,-0.949164,0.108379,0.991095,0.077362,1.447040
M,4136,-8.930230,-9.790825,-0.315512,-0.039860,0.318020,-0.995768,-0.091904,3.500000,-0.298894,0.082624,-0.950703,0.108875,0.992692,0.052044,1.478763
M,4227,-9.247129,-9.820779,-0.316899,-0.029954,0.318312,-0.998183,-0.060246,3.500000,-0.299839,0.073424,-0.951160,0.093596,0.994488,0.047264,1.510513
M,4318,-9.564775,-9.840756,-0.317645,-0.019978,0.318273,-0.999593,-0.028537,3.500000,-0.299076,0.071683,-0.951533,0.062754,0.996493,0.055346,1.542256
M,4409,-9.882660,-9.850743,-0.317885,-0.009987,0.318042,-0.999995,0.003182,3.500000,-0.297782,0.050583,-0.953293,0.011711,0.998713,0.049335,1.573979
M,4500,-10.200959,-9.850736,-0.318299,0.000008,0.318299,-0.999390,0.034924,3.500000,-0.311416,0.019572,-0.950072,-0.056577,0.997633,0.039096,1.605727
M,4590,-10.518766,-9.839637,-0.317807,0.011099,0.318001,-0.997780,0.066593,3.500000,-0.350617,0.014001,-0.936414,-0.091882,0.994550,0.049273,1.637439
M,4681,-10.836383,-9.818540,-0.317616,0.021097,0.318316,-0.995164,0.098233,3.500000,-0.385248,0.019689,-0.922603,-0.098834,0.993142,0.062464,1.669188
M,4772,-11.153039,-9.787484,-0.316656,0.031055,0.318175,-0.991546,0.129762,3.500000,-0.422823,0.026922,-0.905812,-0.097714,0.992376,0.075107,1.700925
M,4863,-11.468614,-9.746490,-0.315575,0.040995,0.318226,-0.986928,0.161163,3.500000,-0.462332,0.022100,-0.886431,-0.089843,0.993377,0.071625,1.732666
M,4954,-11.782495,-9.695643,-0.313881,0.050846,0.317973,-0.981320,0.192380,3.500000,-0.516579,-0.002223,-0.856237,-0.071490,0.996617,0.040543,1.764383
M,5045,-12.094705,-9.634953,-0.312210,0.060690,0.318054,-0.974725,0.223410,3.500000,-0.562203,-0.024569,-0.826634,-0.064460,0.997819,0.014184,1.796107
M,5136,-12.405007,-9.564450,-0.310303,0.070503,0.318211,-0.967144,0.254230,3.500000,-0.583707,-0.036458,-0.811145,-0.060512,0.998167,-0.001319,1.827848
M,5227,-12.712857,-9.484258,-0.307850,0.080193,0.318123,-0.958591,0.284787,3.500000,-0.591864,-0.044422,-0.804813,-0.064026,0.997916,-0.007995,1.859581
M,5318,-13.018211,-9.394379,-0.305354,0.089879,0.318307,-0.949068,0.315070,3.500000,-0.598749,-0.047502,-0.799527,-0.075718,0.997126,-0.002539,1.891327
M,5409,-13.320299,-9.295053,-0.302088,0.099325,0.317998,-0.938599,0.345012,3.500000,-0.612327,-0.084883,-0.786035,-0.114895,0.993219,-0.017753,1.923047
M,5500,-13.619333,-9.186208,-0.299034,0.108846,0.318228,-0.927178,0.374619,3.500000,-0.621482,-0.121728,-0.773914,-0.148168,0.988290,-0.036462,1.954783
M,5590,-13.914437,-9.066978,-0.295104,0.119229,0.318280,-0.914822,0.403859,3.500000,-0.619809,-0.147290,-0.770807,-0.164071,0.984843,-0.056259,1.986528
M,5681,-14.205346,-8.938663,-0.290909,0.128315,0.317951,-0.901556,0.432662,3.500000,-0.615283,-0.147212,-0.774439,-0.167708,0.984364,-0.053873,2.018239
M,5772,-14.492409,-8.801123,-0.287063,0.137541,0.318312,-0.887367,0.461063,3.500000,-0.611182,-0.140716,-0.778881,-0.174798,0.983768,-0.040569,2.049989
M,5863,-14.774879,-8.654696,-0.282471,0.146427,0.318168,-0.872292,0.488987,3.500000,-0.610541,-0.139069,-0.779679,-0.188561,0.981678,-0.027443,2.081724
M,5954,-15.052528,-8.499515,-0.277649,0.155181,0.318072,-0.856341,0.516410,3.500000,-0.612805,-0.128797,-0.779667,-0.204398,0.978887,-0.001054,2.113449
M,6045,-15.325216,-8.335662,-0.272688,0.163853,0.318130,-0.839525,0.543320,3.500000,-0.609030,-0.121555,-0.783778,-0.212604,0.977043,0.013675,2.145182
M,6136,-15.592615,-8.163329,-0.267399,0.172333,0.318121,-0.821865,0.569683,3.500000,-0.599115,-0.120458,-0.791550,-0.216990,0.976048,0.015702,2.176916
M,6227,-15.854483,-7.982673,-0.261868,0.180656,0.318137,-0.803377,0.595471,3.500000,-0.577496,-0.115531,-0.808177,-0.216740,0.976109,0.015338,2.208648
M,6318,-16.110458,-7.793951,-0.255976,0.188723,0.318025,-0.784088,0.620649,3.500000,-0.556307,-0.097040,-0.825292,-0.200227,0.979549,0.019790,2.240367
M,6409,-16.360575,-7.597125,-0.250116,0.196826,0.318274,-0.763994,0.645224,3.500000,-0.520919,-0.070486,-0.850691,-0.163667,0.986342,0.018495,2.272113
M,6500,-16.604345,-7.392568,-0.243771,0.204557,0.318226,-0.743132,0.669145,3.500000,-0.473108,-0.057650,-0.879116,-0.112283,0.993665,-0.004735,2.303853
M,6590,-16.840847,-7.179620,-0.236502,0.212947,0.318245,-0.721527,0.692387,3.500000,-0.434361,-0.048202,-0.899448,-0.062820,0.997757,-0.023133,2.335589
M,6681,-17.070435,-6.959445,-0.229588,0.220176,0.318100,-0.699198,0.714929,3.500000,-0.405684,-0.038641,-0.913197,-0.025870,0.999191,-0.030787,2.367319
M,6772,-17.293083,-6.732073,-0.222649,0.227371,0.318230,-0.676157,0.736758,3.500000,-0.382033,-0.014242,-0.924039,-0.001336,0.999889,-0.014858,2.399060
M,6863,-17.508345,-6.497967,-0.215261,0.234107,0.318030,-0.652449,0.757833,3.500000,-0.361872,0.026901,-0.931839,0.000463,0.999588,0.028677,2.430781
M,6954,-17.716192,-6.257166,-0.207848,0.240800,0.318097,-0.628080,0.778148,3.500000,-0.348487,0.086520,-0.933312,-0.000397,0.995717,0.092453,2.462509
M,7045,-17.916479,-6.009826,-0.200287,0.247340,0.318264,-0.603064,0.797693,3.500000,-0.320424,0.184271,-0.929178,0.000972,0.980960,0.194205,2.494257
M,7136,-18.108749,-5.756511,-0.192270,0.253315,0.318020,-0.577459,0.816420,3.500000,-0.311897,0.172884,-0.934255,0.010409,0.983869,0.178589,2.525979
M,7227,-18.293116,-5.497067,-0.184366,0.259444,0.318280,-0.551258,0.834335,3.500000,-0.312224,0.115864,-0.942917,0.026388,0.993210,0.113306,2.557722
