mode,path_radius,time_stamp,x,z,dx,dz,distance_traveled,fvec_x,fvec_z,is_stopped,colliding,distance_from_line,distance_outside,user_speed,hdirX,hdirY,hdirZ,hupX,hupY,hupZ
N,L,309,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,0.308065,-0.332091,-0.891522,0.067318,0.942358,-0.327766,
N,L,363,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,0.278435,-0.342190,-0.897430,0.057116,0.938625,-0.340177,
N,L,390,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,0.262763,-0.345832,-0.900753,0.051282,0.937244,-0.344883,
N,L,409,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,0.257165,-0.346904,-0.901956,0.049105,0.936831,-0.346317,
N,L,427,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,0.244177,-0.349130,-0.904702,0.043942,0.935967,-0.349335,
N,L,445,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,0.236632,-0.350344,-0.906236,0.040958,0.935494,-0.350960,
N,L,463,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,0.219437,-0.353464,-0.909346,0.034129,0.934275,-0.354917,
N,L,481,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,0.212808,-0.354838,-0.910386,0.031463,0.933733,-0.356584,
N,L,499,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,0.204400,-0.357072,-0.911438,0.028224,0.932859,-0.359135,
N,L,518,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,0.193973,-0.360657,-0.912305,0.024166,0.931443,-0.363085,
N,L,536,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,0.187365,-0.363568,-0.912531,0.021956,0.930301,-0.366140,
N,L,554,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,0.181596,-0.366520,-0.912516,0.020128,0.929136,-0.369190,
N,L,572,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,0.177289,-0.368832,-0.912432,0.018822,0.928220,-0.371556,
N,L,590,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,0.167252,-0.374195,-0.912143,0.016024,0.926085,-0.376976,
N,L,609,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,0.156566,-0.379318,-0.911924,0.013142,0.924029,-0.382097,
N,L,627,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,0.144918,-0.384108,-0.911844,0.009771,0.922083,-0.386869,
N,L,645,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,0.137550,-0.386650,-0.911911,0.007630,0.921049,-0.389373,
N,L,663,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,0.127504,-0.389590,-0.912120,0.004687,0.919852,-0.392237,
N,L,681,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,0.113396,-0.393274,-0.912402,-0.000028,0.918324,-0.395830,
N,L,699,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,0.103951,-0.395701,-0.912477,-0.003456,0.917298,-0.398185,
N,L,718,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,0.095269,-0.397819,-0.912504,-0.006705,0.916397,-0.400216,
N,L,736,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,0.079339,-0.401812,-0.912279,-0.012790,0.914678,-0.403981,
N,L,754,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,0.066529,-0.405759,-0.911556,-0.017861,0.912949,-0.407683,
N,L,772,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,0.056119,-0.409675,-0.910504,-0.022195,0.911204,-0.411357,
N,L,790,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,0.039839,-0.417571,-0.907771,-0.029659,0.907598,-0.418792,
N,L,809,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,0.030519,-0.424347,-0.904985,-0.033899,0.904447,-0.425238,
N,L,827,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,0.018310,-0.436127,-0.899699,-0.038966,0.898855,-0.436511,
N,L,845,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,0.002968,-0.456713,-0.889609,-0.046118,0.888604,-0.456351,
N,L,863,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.005723,-0.473183,-0.880946,-0.051286,0.879940,-0.472309,
N,L,881,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.013025,-0.489121,-0.872119,-0.056022,0.871180,-0.487758,
N,L,900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.025313,-0.519126,-0.854323,-0.064499,0.853664,-0.516814,
N,L,918,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.034375,-0.544248,-0.838220,-0.071069,0.837924,-0.541141,
N,L,936,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.041196,-0.565338,-0.823830,-0.076145,0.823909,-0.561584,
N,L,954,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.050801,-0.598015,-0.799873,-0.083423,0.800649,-0.593297,
N,L,972,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.055900,-0.616872,-0.785076,-0.087595,0.786304,-0.611600,
N,L,990,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.061905,-0.640989,-0.765050,-0.092992,0.766890,-0.635006,
N,L,1009,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.068589,-0.671566,-0.737763,-0.099640,0.740418,-0.664720,
N,L,1027,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.072231,-0.691075,-0.719165,-0.103597,0.722347,-0.683727,
N,L,1045,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.072231,-0.691075,-0.719165,-0.103597,0.722347,-0.683727,
N,L,1063,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.078093,-0.739791,-0.668290,-0.113844,0.672569,-0.731225,
N,L,1081,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.078665,-0.764430,-0.639889,-0.119893,0.644474,-0.755168,
N,L,1099,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.078465,-0.784017,-0.615761,-0.124873,0.620530,-0.774177,
N,L,1118,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.077247,-0.812220,-0.578214,-0.132018,0.583173,-0.801549,
N,L,1136,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.075864,-0.827327,-0.556574,-0.136001,0.561552,-0.816188,
N,L,1154,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.072998,-0.849322,-0.522804,-0.141586,0.527718,-0.837536,
N,L,1172,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.070609,-0.864017,-0.498487,-0.144836,0.503319,-0.851876,
N,L,1190,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.068416,-0.874598,-0.479998,-0.146523,0.484717,-0.862311,
N,L,1209,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.065431,-0.887174,-0.456772,-0.148612,0.461312,-0.874703,
N,L,1227,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.064205,-0.892320,-0.446814,-0.149450,0.451286,-0.879776,
N,L,1245,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.062848,-0.897767,-0.435965,-0.150375,0.440360,-0.885139,
N,L,1263,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.061339,-0.901550,-0.428306,-0.150981,0.432557,-0.888875,
N,L,1281,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.058702,-0.907282,-0.416405,-0.151984,0.420384,-0.894526,
N,L,1300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.056947,-0.911116,-0.408198,-0.152680,0.412000,-0.898301,
N,L,1318,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.055348,-0.915249,-0.399068,-0.153337,0.402730,-0.902383,
N,L,1336,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.054849,-0.918048,-0.392656,-0.153742,0.396323,-0.905147,
N,L,1354,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.054016,-0.920180,-0.387751,-0.154127,0.391347,-0.907244,
N,L,1372,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.052382,-0.923458,-0.380107,-0.155868,0.383525,-0.910282,
N,L,1390,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.051565,-0.925053,-0.376321,-0.157139,0.379644,-0.911690,
