time_stamp,trial_index,slot,mode,size_index,targetRadius,targetX,targetY,userX,userY,distance_from_center,elaspedTime,is_hit
1690,0,s0,N,2,L,0.000000,4.991670,0.027259,5.083745,0.093732,1690,1
2727,1,s8,N,2,L,-0.291500,2.218233,-0.262868,2.321180,0.103249,1036,1
3254,2,s1,N,2,L,0.570260,4.870457,0.602857,4.426551,0.442748,527,0
3890,2,s1,N,2,L,0.570260,4.870457,0.603516,4.937812,0.073250,1163,1
5000,3,s9,N,2,L,-0.824097,2.455360,-0.807919,2.687753,0.227382,1109,0
5654,3,s9,N,2,L,-0.824097,2.455360,-0.884786,2.546240,0.108712,1763,1
7127,4,s2,N,2,L,1.041917,4.527779,1.047451,4.532706,0.007240,1472,1
8127,5,s10,N,2,L,-1.214200,2.888613,-1.256321,2.950400,0.074768,1000,1
9527,6,s3,N,2,L,1.333417,4.022886,1.272617,3.993533,0.066119,1400,1
10600,7,s11,N,2,L,-1.394357,3.443079,-1.457049,3.502882,0.085952,1072,1
11599,8,s4,N,2,L,1.394357,3.443079,1.450762,3.514808,0.090762,999,1
12690,9,s12,N,2,L,-1.333417,4.022886,-1.406906,4.090002,0.097614,1090,1
13818,10,s5,N,2,L,1.214200,2.888613,1.208564,2.944093,0.054806,1127,1
14872,11,s13,N,2,L,-1.041917,4.527779,-1.052247,4.522647,0.011453,1054,1
15963,12,s6,N,2,L,0.824097,2.455360,0.819320,2.543261,0.085525,1090,1
17090,13,s14,N,2,L,-0.570260,4.870457,-0.528480,4.927576,0.070542,1127,1
18127,14,s7,N,2,L,0.291500,2.218233,0.271519,2.350429,0.128816,1036,1
19054,15,s0,N,2,L,0.000000,4.991670,-0.043849,5.101925,0.116705,927,1
20127,16,s8,N,2,L,-0.291500,2.218233,-0.273775,2.375266,0.151993,1072,0
21236,16,s8,N,2,L,-0.291500,2.218233,-0.234792,2.300047,0.096382,2181,1
22618,17,s1,N,2,L,0.570260,4.870457,0.531859,4.878987,0.039290,1381,1
23600,18,s9,N,2,L,-0.824097,2.455360,-0.696104,2.673598,0.245154,981,0
24090,18,s9,N,2,L,-0.824097,2.455360,-0.820202,2.524263,0.066946,1472,1
25309,19,s2,N,2,L,1.041917,4.527779,1.034017,4.502465,0.026213,1218,1
26272,20,s10,N,2,L,-1.214200,2.888613,-1.182985,2.927228,0.047860,963,1
27418,21,s3,N,2,L,1.333417,4.022886,1.336505,4.033180,0.010713,1145,1
28654,22,s11,N,2,L,-1.394357,3.443079,-1.393761,3.483913,0.040695,1236,1
29709,23,s4,N,2,L,1.394357,3.443079,1.356232,3.476890,0.049621,1054,1
30690,24,s12,N,2,L,-1.333417,4.022886,-1.378620,4.046192,0.049586,981,1
31690,25,s5,N,2,L,1.214200,2.888613,1.158208,2.961953,0.089247,999,1
32636,26,s13,N,2,L,-1.041917,4.527779,-1.047752,4.541480,0.014669,945,1
33581,27,s6,N,2,L,0.824097,2.455360,0.793094,2.590681,0.134265,945,1
34490,28,s14,N,2,L,-0.570260,4.870457,-0.544897,4.892397,0.033507,909,1
35309,29,s7,N,2,L,0.291500,2.218233,0.311940,2.372901,0.150785,818,0
35927,29,s7,N,2,L,0.291500,2.218233,0.269009,2.285088,0.067719,1436,1
37036,30,s0,N,2,L,0.000000,4.991670,-0.013585,4.948114,0.044966,1109,1
38145,31,s8,N,2,L,-0.291500,2.218233,-0.286615,2.302107,0.080323,1109,1
39309,32,s1,N,2,L,0.570260,4.870457,0.520104,4.802135,0.083425,1163,1
40309,33,s9,N,2,L,-0.824097,2.455360,-0.795899,2.493945,0.045890,1000,1
41363,34,s2,N,2,L,1.041917,4.527779,1.022284,4.500074,0.033390,1054,1
