mode,time_stamp,x,z,dx,dz,distance_traveled,fvec_x,fvec_z,user_speed,hdirX,hdirY,hdirZ,hupX,hupY,hupZ,angle
M,481,-0.171648,-1.675602,-0.171648,-1.675602,1.684371,-0.201698,-0.979448,3.500000,-0.015833,-0.474155,-0.880299,-0.047243,0.879781,-0.473027,0.203091
M,572,-0.235608,-1.987197,-0.063960,-0.311594,0.318091,-0.232667,-0.972556,3.500000,-0.015833,-0.474155,-0.880299,-0.047243,0.879781,-0.473027,0.234819
M,663,-0.309342,-2.296708,-0.073734,-0.309511,0.318173,-0.263410,-0.964684,3.500000,-0.015981,-0.475835,-0.879389,-0.047269,0.878878,-0.474699,0.266555
M,754,-0.392726,-2.603623,-0.083384,-0.306915,0.318041,-0.293875,-0.955844,3.500000,-0.023059,-0.478780,-0.877632,-0.048950,0.877353,-0.477342,0.298278
M,845,-0.485774,-2.907979,-0.093048,-0.304357,0.318262,-0.324066,-0.946034,3.500000,-0.033545,-0.485286,-0.873712,-0.055119,0.873772,-0.483203,0.330024
M,936,-0.588274,-3.209079,-0.102500,-0.301100,0.318068,-0.353912,-0.935279,3.500000,-0.043651,-0.493682,-0.868546,-0.059580,0.869114,-0.491010,0.361750
M,1027,-0.700225,-3.506924,-0.111951,-0.297845,0.318190,-0.383412,-0.923578,3.500000,-0.051868,-0.497186,-0.866093,-0.065052,0.867100,-0.493868,0.393488
M,1118,-0.821488,-3.801131,-0.121263,-0.294206,0.318217,-0.412529,-0.910944,3.500000,-0.061491,-0.497483,-0.865292,-0.071555,0.866899,-0.493322,0.425229
M,1209,-0.951897,-4.091303,-0.130408,-0.290172,0.318129,-0.441220,-0.897399,3.500000,-0.070962,-0.497796,-0.864386,-0.078496,0.866670,-0.492667,0.456958
M,1300,-1.091382,-4.377289,-0.139485,-0.285986,0.318189,-0.469473,-0.882947,3.500000,-0.078390,-0.498055,-0.863595,-0.084308,0.866470,-0.492059,0.488693
M,1390,-1.240772,-4.658251,-0.149390,-0.280962,0.318209,-0.497252,-0.867606,3.500000,-0.083630,-0.498237,-0.862998,-0.084591,0.866456,-0.492036,0.520429
M,1481,-1.398896,-4.934349,-0.158124,-0.276098,0.318172,-0.524530,-0.851392,3.500000,-0.089928,-0.498473,-0.862228,-0.086602,0.866371,-0.491835,0.552163
