mode,path_radius,time_stamp,x,z,dx,dz,distance_traveled,fvec_x,fvec_z,is_stopped,colliding,distance_from_line,distance_outside,user_speed,hdirX,hdirY,hdirZ,hupX,hupY,hupZ
N,L,309,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.034388,-0.907649,-0.418320,-0.019712,0.419102,-0.907725,
N,L,363,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.034570,-0.905540,-0.422850,-0.016204,0.423555,-0.905725,
N,L,390,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.034628,-0.904919,-0.424174,-0.015437,0.424862,-0.905127,
N,L,409,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.034710,-0.904048,-0.426019,-0.015366,0.426709,-0.904259,
N,L,427,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.034747,-0.903654,-0.426852,-0.015334,0.427542,-0.903865,
N,L,445,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.034830,-0.902806,-0.428635,-0.015265,0.429326,-0.903021,
N,L,463,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.034895,-0.902194,-0.429916,-0.015216,0.430608,-0.902411,
N,L,481,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.034910,-0.902062,-0.430192,-0.015205,0.430884,-0.902279,
N,L,500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.034910,-0.902062,-0.430192,-0.015205,0.430884,-0.902279,
N,L,518,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.034910,-0.902062,-0.430192,-0.015205,0.430884,-0.902279,
N,L,536,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.034910,-0.902062,-0.430192,-0.015205,0.430884,-0.902279,
N,L,554,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.034910,-0.902062,-0.430192,-0.015205,0.430884,-0.902279,
N,L,572,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.034910,-0.902062,-0.430192,-0.015205,0.430884,-0.902279,
N,L,590,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.034910,-0.902062,-0.430192,-0.015205,0.430884,-0.902279,
N,L,609,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.034910,-0.902062,-0.430192,-0.015205,0.430884,-0.902279,
N,L,627,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.034910,-0.902062,-0.430192,-0.015807,0.430899,-0.902262,
N,L,645,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.034910,-0.902062,-0.430192,-0.016170,0.430908,-0.902251,
