time_stamp,trial_index,slot,mode,size_index,targetRadius,targetX,targetY,userX,userY,distance_from_center,elaspedTime,is_hit
1272,0,s0,J,2,L,0.000000,5.303573,-0.028345,5.374596,0.074124,1272,1
2363,1,s8,J,2,L,-0.291500,2.530136,-0.329561,2.590815,0.070520,1090,1
3909,2,s1,J,2,L,0.570260,5.182361,0.539283,5.233185,0.058895,1545,1
5000,3,s9,J,2,L,-0.824097,2.767264,-0.779342,2.771501,0.044473,1090,1
6181,4,s2,J,2,L,1.041917,4.839682,1.057405,4.895965,0.056715,1181,1
7363,5,s10,J,2,L,-1.214200,3.200517,-1.196826,3.261683,0.062657,1181,1
8363,6,s3,J,2,L,1.333417,4.334789,1.320420,4.373876,0.041190,999,1
9727,7,s11,J,2,L,-1.394357,3.754983,-1.485538,3.749838,0.088445,1363,1
10909,8,s4,J,2,L,1.394357,3.754983,1.301233,3.826011,0.114517,1181,1
12000,9,s12,J,2,L,-1.333417,4.334789,-1.384294,4.367777,0.058792,1090,1
13363,10,s5,J,2,L,1.214200,3.200517,1.130773,3.215339,0.082084,1363,1
14454,11,s13,J,2,L,-1.041917,4.839682,-1.042062,4.850286,0.010441,1090,1
15545,12,s6,J,2,L,0.824097,2.767264,0.795781,2.738338,0.040455,1090,1
16818,13,s14,J,2,L,-0.570260,5.182361,-0.599584,5.259357,0.079555,1272,1
17909,14,s7,J,2,L,0.291500,2.530136,0.338032,2.580540,0.068189,1090,1
19000,15,s0,J,2,L,0.000000,5.303573,0.023297,5.437782,0.130871,1090,1
20454,16,s8,J,2,L,-0.291500,2.530136,-0.227924,2.586450,0.083544,1454,1
21636,17,s1,J,2,L,0.570260,5.182361,0.607594,5.241819,0.067557,1181,1
22818,18,s9,J,2,L,-0.824097,2.767264,-0.847885,2.713865,0.056691,1181,1
24000,19,s2,J,2,L,1.041917,4.839682,1.016464,4.884658,0.051580,1181,1
25090,20,s10,J,2,L,-1.214200,3.200517,-1.166010,3.259218,0.074138,1090,1
26181,21,s3,J,2,L,1.333417,4.334789,1.283006,4.335223,0.048791,1090,1
27363,22,s11,J,2,L,-1.394357,3.754983,-1.451079,3.774812,0.058552,1181,1
