mode,path_radius,time_stamp,x,z,dx,dz,distance_traveled,fvec_x,fvec_z,is_stopped,colliding,distance_from_line,distance_outside,user_speed,hdirX,hdirY,hdirZ,hupX,hupY,hupZ
M,L,454,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.061282,-0.221264,-0.973287,-0.033011,0.975035,-0.219583,
M,L,545,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.061393,-0.226484,-0.972078,-0.033334,0.973837,-0.224789,
M,L,636,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.073608,-0.236732,-0.968783,-0.031999,0.971478,-0.234960,
M,L,727,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.102486,-0.267096,-0.958205,-0.027341,0.963669,-0.265695,
M,L,818,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.133068,-0.313058,-0.940366,-0.030257,0.949645,-0.311865,
M,L,909,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.174246,-0.380038,-0.908410,-0.038939,0.924461,-0.379283,
M,L,999,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.223510,-0.474328,-0.851502,-0.063695,0.878844,-0.472839,
M,L,1090,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.268977,-0.517905,-0.812051,-0.083083,0.852456,-0.516155,
M,L,1181,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.300514,-0.526612,-0.795218,-0.098007,0.846392,-0.523464,
M,L,1272,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.315211,-0.518867,-0.794619,-0.106860,0.851383,-0.513544,
M,L,1363,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.317569,-0.512031,-0.798107,-0.109629,0.855858,-0.505459,
M,L,1454,0.000000,-0.062393,0.000000,-0.062393,0.062393,0.000000,-1.000000,0,0,0.002178,0.000000,0.686064,-0.318112,-0.507854,-0.800555,-0.110579,0.858532,-0.500694,
M,L,1545,0.000000,-0.134713,0.000000,-0.072321,0.072321,0.000000,-1.000000,0,0,0.004701,0.000000,0.795835,-0.318112,-0.507854,-0.800555,-0.112455,0.858672,-0.500037,
M,L,1636,0.000000,-0.207072,0.000000,-0.072358,0.072358,0.000000,-1.000000,0,0,0.007227,0.000000,0.795835,-0.317947,-0.507865,-0.800614,-0.112455,0.858673,-0.500035,
M,L,1727,0.000000,-0.291889,0.000000,-0.084818,0.084818,-0.005367,-0.999986,0,0,0.010187,0.000000,0.933047,-0.312289,-0.507641,-0.802980,-0.109837,0.858879,-0.500263,
M,L,1818,-0.000455,-0.376705,-0.000455,-0.084816,0.084817,-0.026841,-0.999640,0,0,0.013609,0.000000,0.933047,-0.308385,-0.503291,-0.807216,-0.107108,0.861548,-0.496248,
M,L,1909,-0.002732,-0.461516,-0.002277,-0.084811,0.084842,-0.049407,-0.998779,0,0,0.017253,0.000000,0.933047,-0.311265,-0.496033,-0.810596,-0.106040,0.865770,-0.489078,
M,L,2000,-0.006923,-0.546232,-0.004191,-0.084716,0.084820,-0.071941,-0.997409,0,0,0.018983,0.000000,0.933047,-0.316487,-0.488013,-0.813437,-0.107394,0.870436,-0.480425,
M,L,2090,-0.014820,-0.655722,-0.007897,-0.109489,0.109774,-0.094441,-0.995530,0,0,0.018742,0.000000,1.207473,-0.317538,-0.480234,-0.817646,-0.104909,0.874771,-0.473043,
M,L,2181,-0.027075,-0.784897,-0.012254,-0.129176,0.129755,-0.116896,-0.993144,0,0,0.018489,0.000000,1.427014,-0.313514,-0.470686,-0.824721,-0.101474,0.880141,-0.463741,
M,L,2272,-0.042239,-0.913735,-0.015165,-0.128838,0.129727,-0.139287,-0.990252,0,0,0.016874,0.000000,1.427014,-0.313764,-0.461146,-0.829998,-0.099788,0.885315,-0.454157,
M,L,2363,-0.060301,-1.042141,-0.018061,-0.128406,0.129670,-0.161597,-0.986857,0,0,0.012334,0.000000,1.427014,-0.314757,-0.454217,-0.833435,-0.100698,0.889090,-0.446519,
M,L,2454,-0.081264,-1.170163,-0.020964,-0.128022,0.129727,-0.183835,-0.982957,0,0,0.009168,0.000000,1.427014,-0.315735,-0.447589,-0.836646,-0.098356,0.892438,-0.440319,
M,L,2545,-0.109246,-1.319782,-0.027982,-0.149619,0.152213,-0.205983,-0.978555,0,0,0.002281,0.000000,1.673997,-0.317138,-0.436991,-0.841702,-0.094994,0.897690,-0.430266,
M,L,2636,-0.142138,-1.476041,-0.032892,-0.156259,0.159683,-0.228025,-0.973655,0,0,0.005592,0.000000,1.756325,-0.321927,-0.425722,-0.845650,-0.091394,0.903002,-0.419802,
M,L,2727,-0.178543,-1.631488,-0.036405,-0.155447,0.159653,-0.249946,-0.968260,0,0,0.014451,0.000000,1.756325,-0.323196,-0.417378,-0.849317,-0.089431,0.906938,-0.411663,
M,L,2818,-0.218450,-1.786084,-0.039907,-0.154596,0.159664,-0.265392,-0.964141,0,0,0.025031,0.000000,1.756325,-0.323666,-0.413770,-0.850902,-0.088148,0.908586,-0.408290,
M,L,2909,-0.260828,-1.940038,-0.042378,-0.153954,0.159680,-0.271620,-0.962404,0,0,0.034474,0.000000,1.756325,-0.323730,-0.413269,-0.851122,-0.087970,0.908814,-0.407821,
M,L,3000,-0.313686,-2.127325,-0.052858,-0.187287,0.194603,-0.276430,-0.961034,0,0,0.045193,0.000000,2.140521,-0.323730,-0.413269,-0.851122,-0.087970,0.908814,-0.407821,
M,L,3090,-0.367470,-2.314308,-0.053784,-0.186983,0.194565,-0.281231,-0.959640,0,0,0.052143,0.000000,2.140521,-0.323730,-0.413269,-0.851122,-0.087970,0.908814,-0.407821,
M,L,3181,-0.424308,-2.508255,-0.056838,-0.193947,0.202104,-0.286027,-0.958221,0,0,0.056646,0.000000,2.222848,-0.323730,-0.413269,-0.851122,-0.087970,0.908814,-0.407821,
M,L,3272,-0.482093,-2.701843,-0.057786,-0.193588,0.202028,-0.290814,-0.956779,0,0,0.058833,0.000000,2.222848,-0.323730,-0.413269,-0.851122,-0.089213,0.908889,-0.407385,
M,L,3363,-0.540860,-2.895186,-0.058767,-0.193343,0.202077,-0.295595,-0.955313,0,0,0.056344,0.000000,2.222848,-0.324091,-0.410614,-0.852268,-0.095048,0.910468,-0.402510,
M,L,3454,-0.605013,-3.102516,-0.064153,-0.207330,0.217029,-0.300368,-0.953823,0,0,0.052176,0.000000,2.387504,-0.318770,-0.409717,-0.854703,-0.100185,0.911259,-0.399462,
M,L,3545,-0.675457,-3.326211,-0.070444,-0.223695,0.234524,-0.305135,-0.952309,0,0,0.041863,0.000000,2.579602,-0.314865,-0.404127,-0.858802,-0.098372,0.913847,-0.393963,
M,L,3636,-0.747028,-3.549580,-0.071571,-0.223369,0.234555,-0.309894,-0.950771,0,0,0.027415,0.000000,2.579602,-0.322496,-0.398726,-0.858496,-0.102745,0.916340,-0.386995,
M,L,3727,-0.821254,-3.777311,-0.074226,-0.227731,0.239522,-0.314645,-0.949209,0,0,0.009474,0.000000,2.634487,-0.336333,-0.396429,-0.854239,-0.110374,0.917425,-0.382295,
M,L,3818,-0.896598,-4.004605,-0.075344,-0.227294,0.239456,-0.319387,-0.947624,0,0,0.014145,0.000000,2.634487,-0.351797,-0.395857,-0.848255,-0.117131,0.917675,-0.379675,
