time_stamp,trial_index,slot,mode,size_index,targetRadius,targetX,targetY,userX,userY,distance_from_center,elaspedTime,is_hit
1036,0,s0,N,2,L,0.000000,5.122541,-0.063186,5.037262,0.104764,1036,1
1927,1,s8,N,2,L,-0.291500,2.349104,-0.344998,2.151594,0.196998,890,0
2254,1,s8,N,2,L,-0.291500,2.349104,-0.283082,2.406699,0.056665,1218,1
3072,2,s1,N,2,L,0.570260,5.001328,0.600157,5.107619,0.107195,818,1
3872,3,s9,N,2,L,-0.824097,2.586231,-0.901927,2.224165,0.355165,800,0
4363,3,s9,N,2,L,-0.824097,2.586231,-0.881483,2.679655,0.109259,1290,1
5127,4,s2,N,2,L,1.041917,4.658650,1.151984,4.660573,0.107855,763,1
5872,5,s10,N,2,L,-1.214200,3.019485,-1.118192,2.993658,0.098378,745,1
6636,6,s3,N,2,L,1.333417,4.153757,1.355662,4.032800,0.122982,763,1
7363,7,s11,N,2,L,-1.394357,3.573951,-1.551196,3.584432,0.151789,727,0
7745,7,s11,N,2,L,-1.394357,3.573951,-1.331030,3.636910,0.087515,1109,1
8563,8,s4,N,2,L,1.394357,3.573951,1.639995,3.347424,0.322150,818,0
8927,8,s4,N,2,L,1.394357,3.573951,1.559326,3.559238,0.159718,1181,0
9400,8,s4,N,2,L,1.394357,3.573951,1.226032,3.610500,0.168396,1654,0
9745,8,s4,N,2,L,1.394357,3.573951,1.329370,3.576295,0.063382,1999,1
10545,9,s12,N,2,L,-1.333417,4.153757,-1.397076,4.205620,0.080101,799,1
11454,10,s5,N,2,L,1.214200,3.019485,1.445039,2.826579,0.287526,909,0
11890,10,s5,N,2,L,1.214200,3.019485,1.155267,2.992520,0.064482,1345,1
12781,11,s13,N,2,L,-1.041917,4.658650,-1.208177,4.709599,0.168887,890,0
13218,11,s13,N,2,L,-1.041917,4.658650,-1.136302,4.743539,0.123525,1327,1
13872,12,s6,N,2,L,0.824097,2.586231,0.654199,2.895583,0.345404,654,0
14454,12,s6,N,2,L,0.824097,2.586231,0.799570,2.431067,0.153591,1236,0
14927,12,s6,N,2,L,0.824097,2.586231,0.716812,2.663352,0.129102,1709,1
15818,13,s14,N,2,L,-0.570260,5.001328,-0.681511,5.200020,0.220584,890,0
16163,13,s14,N,2,L,-0.570260,5.001328,-0.619988,5.024139,0.053891,1236,1
16945,14,s7,N,2,L,0.291500,2.349104,0.338198,2.364208,0.049067,781,1
17690,15,s0,N,2,L,0.000000,5.122541,-0.044687,5.270976,0.151145,745,0
18054,15,s0,N,2,L,0.000000,5.122541,-0.035166,4.924887,0.198068,1109,0
18381,15,s0,N,2,L,0.000000,5.122541,0.041549,5.110774,0.043126,1436,1
19127,16,s8,N,2,L,-0.291500,2.349104,-0.167586,2.317892,0.127683,745,1
19872,17,s1,N,2,L,0.570260,5.001328,0.468727,4.943603,0.115176,745,1
20745,18,s9,N,2,L,-0.824097,2.586231,-0.880637,2.364769,0.219409,872,0
21109,18,s9,N,2,L,-0.824097,2.586231,-0.790066,2.552928,0.047515,1236,1
21818,19,s2,N,2,L,1.041917,4.658650,1.040560,4.802876,0.142365,709,0
22254,19,s2,N,2,L,1.041917,4.658650,1.109125,4.687195,0.071246,1145,1
23000,20,s10,N,2,L,-1.214200,3.019485,-0.993259,3.047783,0.218447,745,0
23527,20,s10,N,2,L,-1.214200,3.019485,-1.260480,3.048862,0.054521,1272,1
24218,21,s3,N,2,L,1.333417,4.153757,1.329698,4.136229,0.017861,690,1
25018,22,s11,N,2,L,-1.394357,3.573951,-1.331436,3.524097,0.079538,799,1
25781,23,s4,N,2,L,1.394357,3.573951,1.606684,3.337251,0.307451,763,0
26327,23,s4,N,2,L,1.394357,3.573951,1.367558,3.534393,0.047653,1309,1
27036,24,s12,N,2,L,-1.333417,4.153757,-1.307375,4.169448,0.029914,709,1
27745,25,s5,N,2,L,1.214200,3.019485,1.477562,2.852990,0.295807,709,0
28163,25,s5,N,2,L,1.214200,3.019485,1.259582,2.963827,0.068929,1127,1
28927,26,s13,N,2,L,-1.041917,4.658650,-0.976353,4.712178,0.084549,763,1
29618,27,s6,N,2,L,0.824097,2.586231,0.917795,2.306901,0.279991,690,0
29981,27,s6,N,2,L,0.824097,2.586231,0.955043,2.526272,0.139622,1054,0
30454,27,s6,N,2,L,0.824097,2.586231,0.802433,2.633978,0.050606,1527,1
31127,28,s14,N,2,L,-0.570260,5.001328,-0.376836,5.007518,0.193210,672,0
