mode,path_radius,time_stamp,x,z,dx,dz,distance_traveled,fvec_x,fvec_z,is_stopped,colliding,distance_from_line,distance_outside,user_speed,hdirX,hdirY,hdirZ,hupX,hupY,hupZ
M,L,472,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,0.024545,-0.672881,-0.739343,-0.008958,0.739388,-0.673219,
M,L,563,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,0.028677,-0.686104,-0.726938,-0.009420,0.727019,-0.686553,
M,L,654,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,0.030116,-0.695834,-0.717571,-0.009403,0.717668,-0.696322,
M,L,745,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,0.022490,-0.714272,-0.699507,-0.019958,0.699224,-0.714625,
M,L,836,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,0.009049,-0.727944,-0.685577,-0.034738,0.684962,-0.727750,
M,L,927,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.005681,-0.734399,-0.678694,-0.051264,0.678026,-0.733248,
M,L,1018,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.021716,-0.736879,-0.675676,-0.073722,0.675175,-0.733964,
M,L,1109,0.000000,-0.209580,0.000000,-0.209580,0.209580,0.000000,-1.000000,0,0,0.007314,0.000000,2.305176,-0.041266,-0.725829,-0.686636,-0.091887,0.687067,-0.720761,
M,L,1199,0.000000,-0.608674,0.000000,-0.399094,0.399094,-0.025134,-0.999684,0,0,0.030244,0.000000,4.390811,-0.054370,-0.720919,-0.690883,-0.103099,0.692262,-0.714244,
M,L,1290,-0.009909,-1.002793,-0.009909,-0.394120,0.394244,-0.059403,-0.998234,0,0,0.058337,0.000000,4.335927,-0.065536,-0.719278,-0.691624,-0.118765,0.693810,-0.710298,
M,L,1381,-0.031397,-1.363885,-0.021488,-0.361092,0.361731,-0.059403,-0.998234,0,0,0.085510,0.000000,3.979173,-0.076925,-0.719631,-0.690082,-0.129744,0.693473,-0.708704,
M,L,1472,-0.051253,-1.697566,-0.019857,-0.333680,0.334271,-0.082651,-0.996579,0,0,0.122379,0.000000,3.677305,-0.087585,-0.719917,-0.688511,-0.138011,0.693271,-0.707339,
M,L,1563,-0.085900,-2.115323,-0.034647,-0.417757,0.419192,-0.112414,-0.993661,0,0,0.173075,0.000000,4.610352,-0.100216,-0.720215,-0.686475,-0.150380,0.692986,-0.705093,
M,L,1654,-0.137480,-2.571257,-0.051580,-0.455934,0.458842,-0.154004,-0.988070,0,0,0.236436,0.000000,5.049433,-0.109403,-0.720404,-0.684872,-0.162000,0.692718,-0.702779,
M,L,1745,-0.217020,-3.081576,-0.079540,-0.510320,0.516481,-0.221135,-0.975243,0,0,0.309244,0.000000,5.680613,-0.123658,-0.720702,-0.682127,-0.175625,0.692447,-0.699767,
M,L,1836,-0.335079,-3.602236,-0.118059,-0.520659,0.533876,-0.288276,-0.957547,0,0,0.374262,0.000000,5.872711,-0.138095,-0.720988,-0.679047,-0.190177,0.692161,-0.696237,
M,L,1927,-0.484003,-4.096905,-0.148924,-0.494670,0.516601,-0.354052,-0.935226,0,0,0.428611,0.000000,5.680613,-0.143709,-0.721064,-0.677801,-0.201868,0.691868,-0.693230,
M,L,2018,-0.666805,-4.579778,-0.182803,-0.482872,0.516316,-0.418084,-0.908408,0,0,0.470372,0.000000,5.680613,-0.143779,-0.721008,-0.677846,-0.208655,0.691651,-0.691435,
M,L,2109,-0.882771,-5.049026,-0.215966,-0.469248,0.516561,-0.480130,-0.877197,0,0,0.504316,0.000000,5.680613,-0.143779,-0.721008,-0.677845,-0.211953,0.691504,-0.690578,
M,L,2200,-1.128305,-5.497616,-0.245534,-0.448590,0.511390,-0.539840,-0.841767,0,0,0.525741,0.000000,5.625727,-0.143779,-0.721008,-0.677845,-0.211953,0.691504,-0.690578,
M,L,2290,-1.401651,-5.923841,-0.273345,-0.426225,0.506345,-0.596941,-0.802285,0,0,0.536103,0.000000,5.570842,-0.143779,-0.721008,-0.677845,-0.211953,0.691504,-0.690578,
M,L,2381,-1.692074,-6.314167,-0.290423,-0.390326,0.486519,-0.651180,-0.758924,0,0,0.536408,0.000000,5.351302,-0.143779,-0.721008,-0.677845,-0.211953,0.691504,-0.690578,
M,L,2472,-1.999117,-6.672013,-0.307043,-0.357846,0.471518,-0.702275,-0.711906,0,0,0.524185,0.000000,5.186646,-0.143779,-0.721008,-0.677845,-0.211953,0.691504,-0.690578,
M,L,2563,-2.330263,-7.007701,-0.331146,-0.335688,0.471534,-0.749985,-0.661454,0,0,0.499461,0.000000,5.186646,-0.141649,-0.720892,-0.678417,-0.211926,0.691522,-0.690568,
M,L,2654,-2.683782,-7.319489,-0.353519,-0.311788,0.471367,-0.794065,-0.607833,0,0,0.465496,0.000000,5.186646,-0.141649,-0.720892,-0.678417,-0.211926,0.691522,-0.690568,
M,L,2745,-3.058259,-7.606141,-0.374478,-0.286652,0.471596,-0.834337,-0.551255,0,0,0.418928,0.000000,5.186646,-0.138387,-0.720712,-0.679282,-0.211847,0.691547,-0.690567,
M,L,2836,-3.451612,-7.866033,-0.393353,-0.259892,0.471456,-0.869853,-0.493310,0,0,0.359815,0.000000,5.186646,-0.135004,-0.720527,-0.680158,-0.207555,0.691777,-0.691639,
M,L,2927,-3.861827,-8.098673,-0.410215,-0.232640,0.471590,-0.900725,-0.434390,0,0,0.290858,0.000000,5.186646,-0.129649,-0.720661,-0.681057,-0.203920,0.691551,-0.692946,
M,L,3018,-4.286685,-8.303568,-0.424858,-0.204895,0.471684,-0.920619,-0.390461,0,0,0.212548,0.000000,5.186646,-0.122856,-0.720921,-0.682040,-0.195980,0.691337,-0.695446,
M,L,3109,-4.720649,-8.487625,-0.433964,-0.184057,0.471383,-0.929333,-0.369244,0,0,0.131851,0.000000,5.186646,-0.113799,-0.722013,-0.682457,-0.189709,0.690072,-0.698435,
M,L,3200,-5.158855,-8.661734,-0.438207,-0.174109,0.471528,-0.929333,-0.369244,0,0,0.061495,0.000000,5.186646,-0.108809,-0.722197,-0.683076,-0.185438,0.689840,-0.699809,
