mode,time_stamp,x,z,dx,dz,distance_traveled,fvec_x,fvec_z,user_speed,hdirX,hdirY,hdirZ,hupX,hupY,hupZ,angle
N,327,-0.086538,-1.141817,-0.086538,-1.141817,1.145092,-0.148620,-0.988894,3.500000,-0.146653,0.175083,-0.973570,-0.019842,0.983493,0.179856,0.149172
N,381,-0.113076,-1.330649,-0.026538,-0.188831,0.190687,-0.167401,-0.985889,3.500000,-0.154890,0.184533,-0.970545,-0.018052,0.981708,0.189536,0.168193
N,409,-0.127475,-1.425084,-0.014398,-0.094435,0.095527,-0.176786,-0.984249,3.500000,-0.161920,0.188142,-0.968703,-0.017839,0.980938,0.193500,0.177720
N,427,-0.138507,-1.487654,-0.011033,-0.062570,0.063535,-0.183019,-0.983109,3.500000,-0.163721,0.188041,-0.968419,-0.018384,0.980913,0.193575,0.184057
N,445,-0.149561,-1.550345,-0.011054,-0.062691,0.063658,-0.189257,-0.981928,3.500000,-0.167326,0.186146,-0.968169,-0.018731,0.981236,0.191895,0.190406
N,463,-0.160615,-1.613032,-0.011054,-0.062688,0.063655,-0.195487,-0.980706,3.500000,-0.169414,0.183305,-0.968348,-0.016512,0.981885,0.188756,0.196754
N,481,-0.171660,-1.675671,-0.011045,-0.062639,0.063605,-0.201705,-0.979446,3.500000,-0.169763,0.182070,-0.968520,-0.014518,0.982216,0.187190,0.203098
N,500,-0.182709,-1.738324,-0.011049,-0.062653,0.063620,-0.207914,-0.978147,3.500000,-0.169730,0.181242,-0.968681,-0.013103,0.982441,0.186112,0.209442
N,518,-0.195961,-1.800673,-0.013253,-0.062349,0.063742,-0.214128,-0.976806,3.500000,-0.169723,0.180120,-0.968892,-0.011657,0.982720,0.184732,0.215799
N,536,-0.209178,-1.862854,-0.013217,-0.062181,0.063571,-0.220317,-0.975428,3.500000,-0.168850,0.180441,-0.968984,-0.011618,0.982667,0.185014,0.222139
N,554,-0.222420,-1.925152,-0.013242,-0.062298,0.063689,-0.226509,-0.974009,3.500000,-0.167090,0.182732,-0.968860,-0.011240,0.982258,0.187197,0.228492
N,572,-0.235648,-1.987385,-0.013228,-0.062233,0.063623,-0.232686,-0.972552,3.500000,-0.166056,0.184460,-0.968710,-0.010950,0.981944,0.188857,0.234838
